Rate Id,Utility,Name,Rate Type,Term,Price,Unit,TC Version,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
726,AEP:CSP,PF79R0494201,Flat Rate,For the following 12 monthly billing cycles.,79.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
515,AEP:CSP,P769R0393001A,Fixed Rate,For the following 12 monthly billing cycles,0.0769,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
775,AEP:CSP,P400R0494901,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
727,AEP:OPCO,PF79R0494201,Flat Rate,For the following 12 monthly billing cycles.,79.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
516,AEP:OPCO,P769R0393001A,Fixed Rate,For the following 12 monthly billing cycles,0.0769,kWh,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
776,AEP:OPCO,P400R0494901,First Month Variable Rate,One Month,0.04,kWh,dummy.pdf,Yes,0.05,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
256,CMS,P02,First Month Variable Rate,One Month,3.29,Mcf,dummy.pdf,Yes,4.28,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
315,CMS,F04a,Fixed Rate,For the following 12 monthly billing cycles,5.19,Mcf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
302,COH,QUC04a,Fixed Rate,12,0.599,Ccf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
97,COH,QUC10,First Month Variable Rate,One Month,0.399,Ccf,dummy.pdf,Yes,0.519,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
705,CPA,POP04,Fixed Rate,12 Months,3.99,DTH,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
703,CPA,POP02,First Month Variable Rate,1 Month,1.99,DTH,dummy.pdf,Yes,2.59,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
3,DEO,QUAKE002,Fixed Rate,For the following 12 monthly billing cycles,5.19,Mcf,dummy.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
124,DEO,QUAKE016b,First Month Variable Rate,One Month,2.99,Mcf,dummy.pdf,Yes,3.89,30%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
731,DPL,PRO0E,Flat Rate,For the following 12 monthly billing cycles.,69.99,kWh,dummy.pdf,,,,Unllimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
