Rate Id,Utility,Name,Rate Type,Term,Price,Unit,TC Version,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
726,AEP:CSP,PF79R0494201,Flat Rate,For the following 12 monthly billing cycles.,79.99,Month,726.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
775,AEP:CSP,P400R0494901,First Month Variable Rate,One Month,0.04,kWh,775.pdf,Yes,0.08,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
727,AEP:OPCO,PF79R0494201,Flat Rate,For the following 12 monthly billing cycles.,79.99,Month,727.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
776,AEP:OPCO,P400R0494901,First Month Variable Rate,One Month,0.04,kWh,776.pdf,Yes,0.08,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
256,CMS,P02,First Month Variable Rate,One Month,3.29,Mcf,256.pdf,Yes,5.16,50%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
315,CMS,F04a,Fixed Rate,For the following 12 monthly billing cycles,5.19,Mcf,315.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
302,COH,QUC04a,Fixed Rate,12,0.599,Ccf,302.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
97,COH,QUC10,First Month Variable Rate,One Month,0.399,Ccf,784.pdf,Yes,0.6,42%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
705,CPA,POP04,Fixed Rate,12 Months,3.99,DTH,705.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
703,CPA,POP02,First Month Variable Rate,1 Month,1.99,DTH,703.pdf,Yes,0.49,59%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
3,DEO,QUAKE002,Fixed Rate,For the following 12 monthly billing cycles,5.19,Mcf,3.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
124,DEO,QUAKE016b,First Month Variable Rate,One Month,2.99,Mcf,124.pdf,Yes,5.3,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
731,DPL,PRO0E,Flat Rate,For the following 12 monthly billing cycles.,69.99,Month,731.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
778,DPL,PRO0F,First Month Variable Rate,One Month,0.04,kWh,778.pdf,Yes,0.78,48%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
243,DTE,6,First Month Variable Rate,One Month,0.339,Ccf,243.pdf,Yes,0.54,44%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
