Rate ID,Utility,Name,Rate Type,Term,Price,Unit,TC Version,TC File,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
775,AEP:CSP,P400R0494901,First Month Variable Rate,One Month,0.04,kWh,0775-1,0775-1.pdf,Yes,0.08,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
726,AEP:CSP,PF79R0494201,Flat Rate,For the following 12 monthly billing cycles.,79.99,month,726,0726.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
776,AEP:OPCO,P400R0494901,First Month Variable Rate,One Month,0.04,kWh,0776-1,0776-1.pdf,Yes,0.08,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
727,AEP:OPCO,PF79R0494201,Flat Rate,For the following 12 monthly billing cycles.,79.99,month,727,0727.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
785,CMS,F02a,First Month Variable Rate,One Month,2.6,Mcf,785,0785.pdf,Yes,5.16,50%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
315,CMS,F04a,Fixed Rate,For the following 12 monthly billing cycles,5.19,Mcf,315,0315.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
101,COH,QUC08,First Month Variable Rate,One Month,0.349,Ccf,0101-3,0101-3.pdf,Yes,0.60,42%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
604,COH,QUC02d,Fixed Rate,For the following 12 monthly billing cycles,0.555,Ccf,0604-2,0604-2.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
703,CPA,POP02,First Month Variable Rate,1 Month,1.99,DTH,703,0703.pdf,Yes,0.48,59%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
705,CPA,POP04,Fixed Rate,12 Months,3.99,DTH,705,0705.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
323,DEO,QUAKE015a,First Month Variable Rate,One Month,2.85,Mcf,0323-1,0323-1.pdf,Yes,5.30,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
479,DEO,QUAKE009a,Fixed Rate,For the following 12 monthly billing cycles,4.99,Mcf,0479-1,0479-1.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
778,DPL,PRO0F,First Month Variable Rate,One Month,0.04,kWh,778,0778.pdf,Yes,0.08,48%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
731,DPL,PRO0E,Flat Rate,For the following 12 monthly billing cycles.,69.99,month,731,0731.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
