Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
43780,Senecaville,,Guernsey,Ohio,AEP:OPCO,Provision,
43947,Shadyside,,Belmont,Ohio,AEP:OPCO,Provision,
43782,Shawnee,,Perry,Ohio,AEP:OPCO,Provision,
44875,Shelby,,Richland,Ohio,AEP:OPCO,Provision,
44675,Sherrodsville,,Carroll,Ohio,AEP:OPCO,Provision,
43556,Sherwood,,Defiance,Ohio,AEP:OPCO,Provision,
44878,Shiloh,,Richland,Ohio,AEP:OPCO,Provision,
44676,Shreve,,Wayne,Ohio,AEP:OPCO,Provision,
43948,Smithfield,,Jefferson,Ohio,AEP:OPCO,Provision,
44677,Smithville,,Wayne,Ohio,AEP:OPCO,Provision,
44678,Somerdale,,Tuscarawas,Ohio,AEP:OPCO,Provision,
43783,Somerset,,Perry,Ohio,AEP:OPCO,Provision,
45680,South Point,,Lawrence,Ohio,AEP:OPCO,Provision,
43350,Sparta,,Morrow,Ohio,AEP:OPCO,Provision,
45887,Spencerville,,Allen,Ohio,AEP:OPCO,Provision,
43071,St. Louisville,,Licking,Ohio,AEP:OPCO,Provision,
45885,St. Marys,,Auglaize,Ohio,AEP:OPCO,Provision,
44276,Sterling,,Wayne,Ohio,AEP:OPCO,Provision,
43952,Steubenville,,Jefferson,Ohio,AEP:OPCO,Provision,
43953,Steubenville,,Jefferson,Ohio,AEP:OPCO,Provision,
44679,Stillwater,,Tuscarawas,Ohio,AEP:OPCO,Provision,
45683,Stockdale,,Pike,Ohio,AEP:OPCO,Provision,
43787,Stockport,,Morgan,Ohio,AEP:OPCO,Provision,
43840,Stone Creek,,Tuscarawas,Ohio,AEP:OPCO,Provision,
45684,Stout,,Adams,Ohio,AEP:OPCO,Provision,
44680,Strasburg,,Tuscarawas,Ohio,AEP:OPCO,Provision,
43961,Stratton,,Jefferson,Ohio,AEP:OPCO,Provision,
43155,Sugar Grove,,Fairfield,Ohio,AEP:OPCO,Provision,
44681,Sugarcreek,,Tuscarawas,Ohio,AEP:OPCO,Provision,
44881,Sulphur Springs,,Crawford,Ohio,AEP:OPCO,Provision,
43788,Summerfield,,Noble,Ohio,AEP:OPCO,Provision,
43962,Summitville,,Columbiana,Ohio,AEP:OPCO,Provision,
44882,Sycamore,,Wyandot,Ohio,AEP:OPCO,Provision,
45779,Syracuse,,Meigs,Ohio,AEP:OPCO,Provision,
43076,Thornville,,Perry,Ohio,AEP:OPCO,Provision,
43157,Thurston,,Fairfield,Ohio,AEP:OPCO,Provision,
44883,Tiffin,,Seneca,Ohio,AEP:OPCO,Provision,
43963,Tiltonsville,,Jefferson,Ohio,AEP:OPCO,Provision,
44699,Tippecanoe,,Harrison,Ohio,AEP:OPCO,Provision,
44887,Tiro,,Crawford,Ohio,AEP:OPCO,Provision,
43964,Toronto,,Jefferson,Ohio,AEP:OPCO,Provision,
43842,Trinway,,Muskingum,Ohio,AEP:OPCO,Provision,
44682,Tuscarawas,,Tuscarawas,Ohio,AEP:OPCO,Provision,
44683,Uhrichsville,,Tuscarawas,Ohio,AEP:OPCO,Provision,
45390,Union City,,Darke,Ohio,AEP:OPCO,Provision,
43351,Upper Sandusky,,Wyandot,Ohio,AEP:OPCO,Provision,
43080,Utica,,Licking,Ohio,AEP:OPCO,Provision,
45889,Van Buren,,Hancock,Ohio,AEP:OPCO,Provision,
45891,Van Wert,,Van Wert,Ohio,AEP:OPCO,Provision,
45890,Vanlue,,Hancock,Ohio,AEP:OPCO,Provision,
45893,Vaughnsville,,Putnam,Ohio,AEP:OPCO,Provision,
45894,Venedocia,,Van Wert,Ohio,AEP:OPCO,Provision,
43464,Vickery,,Sandusky,Ohio,AEP:OPCO,Provision,
45687,Wakefield,,Pike,Ohio,AEP:OPCO,Provision,
43356,Waldo,,Marion,Ohio,AEP:OPCO,Provision,
43843,Walhonding,,Coshocton,Ohio,AEP:OPCO,Provision,
44687,Walnut Creek,,Holmes,Ohio,AEP:OPCO,Provision,
45895,Wapakoneta,,Auglaize,Ohio,AEP:OPCO,Provision,
43844,Warsaw,,Coshocton,Ohio,AEP:OPCO,Provision,
44688,Waynesburg,,Stark,Ohio,AEP:OPCO,Provision,
43968,Wellsville,,Columbiana,Ohio,AEP:OPCO,Provision,
43845,West Lafayette,,Coshocton,Ohio,AEP:OPCO,Provision,
44492,West Point,,Columbiana,Ohio,AEP:OPCO,Provision,
45663,West Portsmouth,,Scioto,Ohio,AEP:OPCO,Provision,
43359,Wharton,,Wyandot,Ohio,AEP:OPCO,Provision,
45694,Wheelersburg,,Scioto,Ohio,AEP:OPCO,Provision,
43791,White Cottage,,Muskingum,Ohio,AEP:OPCO,Provision,
44888,Willard,,Huron,Ohio,AEP:OPCO,Provision,
44890,Willard,,Huron,Ohio,AEP:OPCO,Provision,
45897,Williamstown,,Hancock,Ohio,AEP:OPCO,Provision,
45898,Willshire,,Van Wert,Ohio,AEP:OPCO,Provision,
44689,Wilmot,,Stark,Ohio,AEP:OPCO,Provision,
43970,Wolf Run,,Jefferson,Ohio,AEP:OPCO,Provision,
44691,Wooster,,Wayne,Ohio,AEP:OPCO,Provision,
45899,Wren,,Van Wert,Ohio,AEP:OPCO,Provision,
43971,Yorkville,,Jefferson,Ohio,AEP:OPCO,Provision,
43701,Zanesville,,Muskingum,Ohio,AEP:OPCO,Provision,
43702,Zanesville,,Muskingum,Ohio,AEP:OPCO,Provision,
44697,Zoar,,Tuscarawas,Ohio,AEP:OPCO,Provision,
