Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
45810,Ada,,Hardin,Ohio,AEP:OPCO,Provision,
43802,Adamsville,,Muskingum,Ohio,AEP:OPCO,Provision,
43901,Adena,,Jefferson,Ohio,AEP:OPCO,Provision,
45812,Alger,,Hardin,Ohio,AEP:OPCO,Provision,
44802,Alvada,,Seneca,Ohio,AEP:OPCO,Provision,
43903,Amsterdam,,Jefferson,Ohio,AEP:OPCO,Provision,
45813,Antwerp,,Paulding,Ohio,AEP:OPCO,Provision,
44606,Apple Creek,,Wayne,Ohio,AEP:OPCO,Provision,
44804,Arcadia,,Hancock,Ohio,AEP:OPCO,Provision,
45814,Arlington,,Hancock,Ohio,AEP:OPCO,Provision,
44807,Attica,,Seneca,Ohio,AEP:OPCO,Provision,
43711,Ava,,Noble,Ohio,AEP:OPCO,Provision,
43804,Baltic,,Tuscarawas,Ohio,AEP:OPCO,Provision,
43105,Baltimore,,Fairfield,Ohio,AEP:OPCO,Provision,
43972,Bannock,,Belmont,Ohio,AEP:OPCO,Provision,
43713,Barnesville,,Belmont,Ohio,AEP:OPCO,Provision,
43905,Barton,,Belmont,Ohio,AEP:OPCO,Provision,
44809,Bascom,,Seneca,Ohio,AEP:OPCO,Provision,
45613,Beaver,,Pike,Ohio,AEP:OPCO,Provision,
45808,Beaverdam,,Allen,Ohio,AEP:OPCO,Provision,
43906,Bellaire,,Belmont,Ohio,AEP:OPCO,Provision,
43717,Belle Valley,,Noble,Ohio,AEP:OPCO,Provision,
44813,Bellville,,Richland,Ohio,AEP:OPCO,Provision,
43718,Belmont,,Belmont,Ohio,AEP:OPCO,Provision,
45815,Belmore,,Putnam,Ohio,AEP:OPCO,Provision,
45816,Benton Ridge,,Hancock,Ohio,AEP:OPCO,Provision,
43908,Bergholz,,Jefferson,Ohio,AEP:OPCO,Provision,
44610,Berlin,,Holmes,Ohio,AEP:OPCO,Provision,
43719,Bethesda,,Belmont,Ohio,AEP:OPCO,Provision,
44815,Bettsville,,Seneca,Ohio,AEP:OPCO,Provision,
43005,Bladensburg,,Knox,Ohio,AEP:OPCO,Provision,
43909,Blaine,,Belmont,Ohio,AEP:OPCO,Provision,
44817,Bloomdale,,Wood,Ohio,AEP:OPCO,Provision,
43910,Bloomingdale,,Jefferson,Ohio,AEP:OPCO,Provision,
44818,Bloomville,,Seneca,Ohio,AEP:OPCO,Provision,
45817,Bluffton,,Allen,Ohio,AEP:OPCO,Provision,
44612,Bolivar,,Tuscarawas,Ohio,AEP:OPCO,Provision,
44695,Bowerston,,Harrison,Ohio,AEP:OPCO,Provision,
43107,Bremen,,Fairfield,Ohio,AEP:OPCO,Provision,
43912,Bridgeport,,Belmont,Ohio,AEP:OPCO,Provision,
43913,Brilliant,,Jefferson,Ohio,AEP:OPCO,Provision,
43006,Brinkhaven,,Knox,Ohio,AEP:OPCO,Provision,
43008,Buckeye Lake,,Licking,Ohio,AEP:OPCO,Provision,
45819,Buckland,,Auglaize,Ohio,AEP:OPCO,Provision,
44820,Bucyrus,,Crawford,Ohio,AEP:OPCO,Provision,
43722,Buffalo,,Guernsey,Ohio,AEP:OPCO,Provision,
43407,Burgoon,,Sandusky,Ohio,AEP:OPCO,Provision,
43723,Byesville,,Guernsey,Ohio,AEP:OPCO,Provision,
43907,Cadiz,,Harrison,Ohio,AEP:OPCO,Provision,
45820,Cairo,,Allen,Ohio,AEP:OPCO,Provision,
43724,Caldwell,,Noble,Ohio,AEP:OPCO,Provision,
43725,Cambridge,,Guernsey,Ohio,AEP:OPCO,Provision,
44701,Canton,,Stark,Ohio,AEP:OPCO,Provision,
44702,Canton,,Stark,Ohio,AEP:OPCO,Provision,
44703,Canton,,Stark,Ohio,AEP:OPCO,Provision,
