Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
48429,Durand,City,Shiawassee,Michigan,CMS,Provision,
48841,Henderson,Place,Shiawassee,Michigan,CMS,Provision,
48848,Laingsburg,City,Shiawassee,Michigan,CMS,Provision,
48857,Morrice,Village,Shiawassee,Michigan,CMS,Provision,
48460,New Lothrop,Village,Shiawassee,Michigan,CMS,Provision,
48867,Owosso,City,Shiawassee,Michigan,CMS,Provision,
48872,Perry,City,Shiawassee,Michigan,CMS,Provision,
48476,Vernon,Village,Shiawassee,Michigan,CMS,Provision,
48014,Capac,Village,St. Clair,Michigan,CMS,Provision,
49032,Centreville,Village,St. Joseph,Michigan,CMS,Provision,
49066,Leonidas,Place,St. Joseph,Michigan,CMS,Provision,
49072,Mendon,Village,St. Joseph,Michigan,CMS,Provision,
49075,Nottawa,Place,St. Joseph,Michigan,CMS,Provision,
49093,Parkville,Place,St. Joseph,Michigan,CMS,Provision,
48701,Akron,Village,Tuscola,Michigan,CMS,Provision,
48723,Caro,City,Tuscola,Michigan,CMS,Provision,
48733,Fairgrove,Village,Tuscola,Michigan,CMS,Provision,
48435,Fostoria,Place,Tuscola,Michigan,CMS,Provision,
48735,Gagetown,Village,Tuscola,Michigan,CMS,Provision,
48744,Mayville,Village,Tuscola,Michigan,CMS,Provision,
48746,Millington,Village,Tuscola,Michigan,CMS,Provision,
48757,Reese,Village,Tuscola,Michigan,CMS,Provision,
48767,Unionville,Village,Tuscola,Michigan,CMS,Provision,
48768,Vassar,City,Tuscola,Michigan,CMS,Provision,
49013,Bangor,City,Van Buren,Michigan,CMS,Provision,
49027,Breedsville,Village,Van Buren,Michigan,CMS,Provision,
49045,Decatur,Village,Van Buren,Michigan,CMS,Provision,
49056,Grand Junction,Place,Van Buren,Michigan,CMS,Provision,
49057,Hartford,City,Van Buren,Michigan,CMS,Provision,
49064,Lawrence,Village,Van Buren,Michigan,CMS,Provision,
49065,Lawton,Village,Van Buren,Michigan,CMS,Provision,
49071,Mattawan,Village,Van Buren,Michigan,CMS,Provision,
49079,Paw Paw,Village,Van Buren,Michigan,CMS,Provision,
48105,Ann Arbor,Township,Washtenaw,Michigan,CMS,Provision,
48176,Benton,Place,Washtenaw,Michigan,CMS,Provision,
48130,Hudson Mills,Place,Washtenaw,Michigan,CMS,Provision,
48118,Lima Center,Place,Washtenaw,Michigan,CMS,Provision,
48158,Manchester,Village,Washtenaw,Michigan,CMS,Provision,
48175,Salem,Place,Washtenaw,Michigan,CMS,Provision,
48189,Whitmore Lake,Place,Washtenaw,Michigan,CMS,Provision,
48154,Livonia,City,Wayne,Michigan,CMS,Provision,
48153,Livonia,City,Wayne,Michigan,CMS,Provision,
48152,Livonia,City,Wayne,Michigan,CMS,Provision,
48151,Livonia,City,Wayne,Michigan,CMS,Provision,
48150,Livonia,City,Wayne,Michigan,CMS,Provision,
48168,Northville,City,Wayne,Michigan,CMS,Provision,
48167,Northville,City,Wayne,Michigan,CMS,Provision,
48170,Plymouth,City,Wayne,Michigan,CMS,Provision,
48184,Wayne,City,Wayne,Michigan,CMS,Provision,
48186,Westland,City,Wayne,Michigan,CMS,Provision,
48185,Westland,City,Wayne,Michigan,CMS,Provision,
