Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
48884,Sheridan,Village,Montcalm,Michigan,CMS,Provision,
48885,Sidney,Place,Montcalm,Michigan,CMS,Provision,
48886,Six Lakes,Place,Montcalm,Michigan,CMS,Provision,
48888,Stanton,City,Montcalm,Michigan,CMS,Provision,
48891,Vestaburg,Place,Montcalm,Michigan,CMS,Provision,
48326,Auburn Hills,City,Oakland,Michigan,CMS,Provision,
48321,Auburn Hills,City,Oakland,Michigan,CMS,Provision,
48072,Berkley,City,Oakland,Michigan,CMS,Provision,
48012,Birmingham,City,Oakland,Michigan,CMS,Provision,
48009,Birmingham,City,Oakland,Michigan,CMS,Provision,
48304,Bloomfield Hills,City,Oakland,Michigan,CMS,Provision,
48303,Bloomfield Hills,City,Oakland,Michigan,CMS,Provision,
48302,Bloomfield Hills,City,Oakland,Michigan,CMS,Provision,
48301,Bloomfield Hills,City,Oakland,Michigan,CMS,Provision,
48017,Clawson,City,Oakland,Michigan,CMS,Provision,
48382,Commerce,Township,Oakland,Michigan,CMS,Provision,
48350,Davisburg,Place,Oakland,Michigan,CMS,Provision,
48336,Farmington,City,Oakland,Michigan,CMS,Provision,
48335,Farmington,City,Oakland,Michigan,CMS,Provision,
48334,Farmington,City,Oakland,Michigan,CMS,Provision,
48333,Farmington,City,Oakland,Michigan,CMS,Provision,
48332,Farmington,City,Oakland,Michigan,CMS,Provision,
48331,Farmington,City,Oakland,Michigan,CMS,Provision,
48220,Ferndale,City,Oakland,Michigan,CMS,Provision,
48025,Franklin,Village,Oakland,Michigan,CMS,Provision,
48030,Hazel Park,City,Oakland,Michigan,CMS,Provision,
48357,Highland,Place,Oakland,Michigan,CMS,Provision,
48356,Highland,Place,Oakland,Michigan,CMS,Provision,
48442,Holly,Village,Oakland,Michigan,CMS,Provision,
48070,Huntington Woods,City,Oakland,Michigan,CMS,Provision,
48320,Keego Harbor,City,Oakland,Michigan,CMS,Provision,
48362,Lake Orion,Village,Oakland,Michigan,CMS,Provision,
48361,Lake Orion,Village,Oakland,Michigan,CMS,Provision,
48360,Lake Orion,Village,Oakland,Michigan,CMS,Provision,
48359,Lake Orion,Village,Oakland,Michigan,CMS,Provision,
48366,Lakeville,Place,Oakland,Michigan,CMS,Provision,
48367,Leonard,Village,Oakland,Michigan,CMS,Provision,
48071,Madison Heights,City,Oakland,Michigan,CMS,Provision,
48165,New Hudson,Place,Oakland,Michigan,CMS,Provision,
48377,Novi,City,Oakland,Michigan,CMS,Provision,
48376,Novi,City,Oakland,Michigan,CMS,Provision,
48375,Novi,City,Oakland,Michigan,CMS,Provision,
48374,Novi,City,Oakland,Michigan,CMS,Provision,
48237,Oak Park,City,Oakland,Michigan,CMS,Provision,
48363,Oakland,Township,Oakland,Michigan,CMS,Provision,
48462,Ortonville,Village,Oakland,Michigan,CMS,Provision,
48371,Oxford,Village,Oakland,Michigan,CMS,Provision,
48370,Oxford,Village,Oakland,Michigan,CMS,Provision,
48069,Pleasant Ridge,City,Oakland,Michigan,CMS,Provision,
48343,Pontiac,City,Oakland,Michigan,CMS,Provision,
