Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
49323,Dorr,Place,Allegan,Michigan,CMS,Provision,
49070,Martin,Village,Allegan,Michigan,CMS,Provision,
49335,Moline,Place,Allegan,Michigan,CMS,Provision,
49078,Otsego,City,Allegan,Michigan,CMS,Provision,
49080,Plainwell,City,Allegan,Michigan,CMS,Provision,
49344,Shelbyville,Place,Allegan,Michigan,CMS,Provision,
49348,Wayland,City,Allegan,Michigan,CMS,Provision,
49311,Bradley,Place,Allegan,Michigan,CMS,Provision,
48610,Alger,Place,Arenac,Michigan,CMS,Provision,
48703,Au Gres,City,Arenac,Michigan,CMS,Provision,
48749,Omer,City,Arenac,Michigan,CMS,Provision,
48658,Standish,City,Arenac,Michigan,CMS,Provision,
48659,Sterling,Village,Arenac,Michigan,CMS,Provision,
49035,Cloverdale,Place,Barry,Michigan,CMS,Provision,
49046,Delton,Place,Barry,Michigan,CMS,Provision,
49325,Freeport,Village,Barry,Michigan,CMS,Provision,
49058,Hastings,City,Barry,Michigan,CMS,Provision,
49060,Hickory Corners,Place,Barry,Michigan,CMS,Provision,
49333,Middleville,Village,Barry,Michigan,CMS,Provision,
49073,Nashville,Village,Barry,Michigan,CMS,Provision,
48897,Woodland,Village,Barry,Michigan,CMS,Provision,
48611,Auburn,City,Bay,Michigan,CMS,Provision,
48708,Bay City,City,Bay,Michigan,CMS,Provision,
48707,Bay City,City,Bay,Michigan,CMS,Provision,
48706,Bay City,City,Bay,Michigan,CMS,Provision,
48732,Essexville,City,Bay,Michigan,CMS,Provision,
48631,Kawkawlin,Place,Bay,Michigan,CMS,Provision,
48634,Linwood,Place,Bay,Michigan,CMS,Provision,
48747,Munger,Place,Bay,Michigan,CMS,Provision,
48650,Pinconning,City,Bay,Michigan,CMS,Provision,
48710,University Center,Place,Bay,Michigan,CMS,Provision,
49098,Watervliet,City,Berrien,Michigan,CMS,Provision,
49089,Sherwood,Village,Branch,Michigan,CMS,Provision,
49094,Union City,Village,Branch,Michigan,CMS,Provision,
49011,Athens,Village,Calhoun,Michigan,CMS,Provision,
49020,Bedford,Place,Calhoun,Michigan,CMS,Provision,
49014,Brownlee Park,Place,Calhoun,Michigan,CMS,Provision,
49033,Ceresco,Place,Calhoun,Michigan,CMS,Provision,
49051,East Leroy,Place,Calhoun,Michigan,CMS,Provision,
49068,Marshall,City,Calhoun,Michigan,CMS,Provision,
49067,Marcellus,Village,Cass,Michigan,CMS,Provision,
49095,Vandalia,Village,Cass,Michigan,CMS,Provision,
48808,Bath,Place,Clinton,Michigan,CMS,Provision,
48820,Dewitt,City,Clinton,Michigan,CMS,Provision,
48822,Eagle,Village,Clinton,Michigan,CMS,Provision,
48831,Elsie,Village,Clinton,Michigan,CMS,Provision,
48833,Eureka,Place,Clinton,Michigan,CMS,Provision,
48835,Fowler,Village,Clinton,Michigan,CMS,Provision,
48906,Lansing,City,Clinton,Michigan,CMS,Provision,
48866,Ovid,Village,Clinton,Michigan,CMS,Provision,
48879,St. Johns,City,Clinton,Michigan,CMS,Provision,
48894,Westphalia,Village,Clinton,Michigan,CMS,Provision,
49021,Bellevue,Village,Eaton,Michigan,CMS,Provision,
48813,Charlotte,City,Eaton,Michigan,CMS,Provision,
48821,Dimondale,Village,Eaton,Michigan,CMS,Provision,
48827,Eaton Rapids,City,Eaton,Michigan,CMS,Provision,
48837,Grand Ledge,City,Eaton,Michigan,CMS,Provision,
48917,Lansing,City,Eaton,Michigan,CMS,Provision,
48908,Lansing,City,Eaton,Michigan,CMS,Provision,
48861,Mulliken,Village,Eaton,Michigan,CMS,Provision,
49076,Olivet,City,Eaton,Michigan,CMS,Provision,
48876,Potterville,City,Eaton,Michigan,CMS,Provision,
48890,Sunfield,Village,Eaton,Michigan,CMS,Provision,
49096,Vermontville,Village,Eaton,Michigan,CMS,Provision,
48411,Atlas,Place,Genesee,Michigan,CMS,Provision,
48529,Burton,City,Genesee,Michigan,CMS,Provision,
48519,Burton,City,Genesee,Michigan,CMS,Provision,
48509,Burton,City,Genesee,Michigan,CMS,Provision,
48420,Clio,City,Genesee,Michigan,CMS,Provision,
48423,Davison,City,Genesee,Michigan,CMS,Provision,
48430,Fenton,City,Genesee,Michigan,CMS,Provision,
48557,Flint,City,Genesee,Michigan,CMS,Provision,
48556,Flint,City,Genesee,Michigan,CMS,Provision,
48555,Flint,City,Genesee,Michigan,CMS,Provision,
48554,Flint,City,Genesee,Michigan,CMS,Provision,
48553,Flint,City,Genesee,Michigan,CMS,Provision,
48552,Flint,City,Genesee,Michigan,CMS,Provision,
48551,Flint,City,Genesee,Michigan,CMS,Provision,
48550,Flint,City,Genesee,Michigan,CMS,Provision,
48532,Flint,City,Genesee,Michigan,CMS,Provision,
48531,Flint,City,Genesee,Michigan,CMS,Provision,
48507,Flint,City,Genesee,Michigan,CMS,Provision,
48506,Flint,City,Genesee,Michigan,CMS,Provision,
48505,Flint,City,Genesee,Michigan,CMS,Provision,
48504,Flint,City,Genesee,Michigan,CMS,Provision,
48503,Flint,City,Genesee,Michigan,CMS,Provision,
48502,Flint,City,Genesee,Michigan,CMS,Provision,
48501,Flint,City,Genesee,Michigan,CMS,Provision,
48433,Flushing,City,Genesee,Michigan,CMS,Provision,
48436,Gaines,Village,Genesee,Michigan,CMS,Provision,
48437,Genesee,Place,Genesee,Michigan,CMS,Provision,
