Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
15122,West Mifflin,,Allegheny,Pennsylvania,CPA,Provision,
15123,West Mifflin,,Allegheny,Pennsylvania,CPA,Provision,
15089,West Newton,,Westmoreland,Pennsylvania,CPA,Provision,
16061,West Sunbury,,Butler,Pennsylvania,CPA,Provision,
15378,Westland,,Washington,Pennsylvania,CPA,Provision,
15692,Westmoreland City,,Westmoreland,Pennsylvania,CPA,Provision,
16692,Westover,,Clearfield,Pennsylvania,CPA,Provision,
15090,Wexford,,Allegheny,Pennsylvania,CPA,Provision,
15380,Wind Ridge,,Greene,Pennsylvania,CPA,Provision,
17366,Windsor,,York,Pennsylvania,CPA,Provision,
17368,Wrightsville,,York,Pennsylvania,CPA,Provision,
17401,York,,York,Pennsylvania,CPA,Provision,
17402,York,,York,Pennsylvania,CPA,Provision,
17403,York,,York,Pennsylvania,CPA,Provision,
17404,York,,York,Pennsylvania,CPA,Provision,
17405,York,,York,Pennsylvania,CPA,Provision,
17406,York,,York,Pennsylvania,CPA,Provision,
17407,York,,York,Pennsylvania,CPA,Provision,
17408,York,,York,Pennsylvania,CPA,Provision,
17370,York Haven,,York,Pennsylvania,CPA,Provision,
17371,York New Salem,,York,Pennsylvania,CPA,Provision,
15697,Youngwood,,Westmoreland,Pennsylvania,CPA,Provision,
16063,Zelienople,,Butler,Pennsylvania,CPA,Provision,
