Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
16050,Petrolia,,Butler,Pennsylvania,CPA,Provision,
15201,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15202,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15203,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15204,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15205,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15209,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15210,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15211,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15212,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15214,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15215,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15216,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15219,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15220,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15221,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15222,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15223,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15225,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15226,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15227,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15228,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15234,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15235,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15236,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15237,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15238,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15241,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15243,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15275,Pittsburgh,,Allegheny,Pennsylvania,CPA,Provision,
15474,Point Marion,,Fayette,Pennsylvania,CPA,Provision,
16870,Port Matilda,,Centre,Pennsylvania,CPA,Provision,
16051,Portersville,,Butler,Pennsylvania,CPA,Provision,
15142,Presto,,Allegheny,Pennsylvania,CPA,Provision,
16052,Prospect,,Butler,Pennsylvania,CPA,Provision,
15329,Prosperity,,Washington,Pennsylvania,CPA,Provision,
17247,Quincy,,Franklin,Pennsylvania,CPA,Provision,
17355,Railroad,,York,Pennsylvania,CPA,Provision,
17356,Red Lion,,York,Pennsylvania,CPA,Provision,
15475,Republic,,Fayette,Pennsylvania,CPA,Provision,
15357,Rices Landing,,Greene,Pennsylvania,CPA,Provision,
15358,Richeyville,,Washington,Pennsylvania,CPA,Provision,
15678,Rillton,,Westmoreland,Pennsylvania,CPA,Provision,
16248,Rimersburg,,Clarion,Pennsylvania,CPA,Provision,
15074,Rochester,,Beaver,Pennsylvania,CPA,Provision,
15359,Rogersville,,Greene,Pennsylvania,CPA,Provision,
15476,Ronco,,Fayette,Pennsylvania,CPA,Provision,
15477,Roscoe,,Washington,Pennsylvania,CPA,Provision,
17358,Rossville,,York,Pennsylvania,CPA,Provision,
15679,Ruffs Dale,,Westmoreland,Pennsylvania,CPA,Provision,
16054,Saint Petersburg,,Clarion,Pennsylvania,CPA,Provision,
15558,Salisbury,,Somerset,Pennsylvania,CPA,Provision,
15681,Saltsburg,,Indiana,Pennsylvania,CPA,Provision,
15360,Scenery Hill,,Washington,Pennsylvania,CPA,Provision,
15683,Scottdale,,Westmoreland,Pennsylvania,CPA,Provision,
17360,Seven Valleys,,York,Pennsylvania,CPA,Provision,
15143,Sewickley,,Allegheny,Pennsylvania,CPA,Provision,
17256,Shady Grove,,Franklin,Pennsylvania,CPA,Provision,
16347,Sheffield,,Warren,Pennsylvania,CPA,Provision,
16254,Shippenville,,Clarion,Pennsylvania,CPA,Provision,
17361,Shrewsbury,,York,Pennsylvania,CPA,Provision,
16255,Sligo,,Clarion,Pennsylvania,CPA,Provision,
16057,Slippery Rock,,Butler,Pennsylvania,CPA,Provision,
15478,Smithfield,,Fayette,Pennsylvania,CPA,Provision,
15479,Smithton,,Westmoreland,Pennsylvania,CPA,Provision,
15480,Smock,,Fayette,Pennsylvania,CPA,Provision,
16874,Snow Shoe,,Centre,Pennsylvania,CPA,Provision,
15501,Somerset,,Somerset,Pennsylvania,CPA,Provision,
15510,Somerset,,Somerset,Pennsylvania,CPA,Provision,
17261,South Mountain,,Franklin,Pennsylvania,CPA,Provision,
15129,South Park,,Allegheny,Pennsylvania,CPA,Provision,
15362,Spraggs,,Greene,Pennsylvania,CPA,Provision,
17362,Spring Grove,,York,Pennsylvania,CPA,Provision,
15482,Star Junction,,Fayette,Pennsylvania,CPA,Provision,
16801,State College,,Centre,Pennsylvania,CPA,Provision,
16803,State College,,Centre,Pennsylvania,CPA,Provision,
16805,State College,,Centre,Pennsylvania,CPA,Provision,
17263,State Line,,Franklin,Pennsylvania,CPA,Provision,
17363,Stewartstown,,York,Pennsylvania,CPA,Provision,
15483,Stockdale,,Washington,Pennsylvania,CPA,Provision,
15363,Strabane,,Washington,Pennsylvania,CPA,Provision,
15082,Sturgeon,,Allegheny,Pennsylvania,CPA,Provision,
15864,Summerville,,Jefferson,Pennsylvania,CPA,Provision,
15083,Sutersville,,Westmoreland,Pennsylvania,CPA,Provision,
15364,Sycamore,,Greene,Pennsylvania,CPA,Provision,
15688,Tarrs,,Westmoreland,Pennsylvania,CPA,Provision,
17364,Thomasville,,York,Pennsylvania,CPA,Provision,
16352,Tiona,,Warren,Pennsylvania,CPA,Provision,
15085,Trafford,,Westmoreland,Pennsylvania,CPA,Provision,
16058,Turkey City,,Clarion,Pennsylvania,CPA,Provision,
15484,Uledi,,Fayette,Pennsylvania,CPA,Provision,
15401,Uniontown,,Fayette,Pennsylvania,CPA,Provision,
16802,University Park,,Centre,Pennsylvania,CPA,Provision,
16059,Valencia,,Butler,Pennsylvania,CPA,Provision,
15486,Vanderbilt,,Fayette,Pennsylvania,CPA,Provision,
15367,Venetia,,Washington,Pennsylvania,CPA,Provision,
15368,Vestaburg,,Washington,Pennsylvania,CPA,Provision,
15488,Waltersburg,,Fayette,Pennsylvania,CPA,Provision,
16157,Wampum,,Lawrence,Pennsylvania,CPA,Provision,
17267,Warfordsburg,,Fulton,Pennsylvania,CPA,Provision,
16365,Warren,,Warren,Pennsylvania,CPA,Provision,
15086,Warrendale,,Allegheny,Pennsylvania,CPA,Provision,
15301,Washington,,Washington,Pennsylvania,CPA,Provision,
17268,Waynesboro,,Franklin,Pennsylvania,CPA,Provision,
15370,Waynesburg,,Greene,Pennsylvania,CPA,Provision,
15564,Wellersburg,,Somerset,Pennsylvania,CPA,Provision,
17365,Wellsville,,York,Pennsylvania,CPA,Provision,
15691,Wendel,,Westmoreland,Pennsylvania,CPA,Provision,
15376,West Alexander,,Washington,Pennsylvania,CPA,Provision,
15377,West Finley,,Washington,Pennsylvania,CPA,Provision,
15379,West Middletown,,Washington,Pennsylvania,CPA,Provision,
15122,West Mifflin,,Allegheny,Pennsylvania,CPA,Provision,
15123,West Mifflin,,Allegheny,Pennsylvania,CPA,Provision,
15089,West Newton,,Westmoreland,Pennsylvania,CPA,Provision,
16061,West Sunbury,,Butler,Pennsylvania,CPA,Provision,
15378,Westland,,Washington,Pennsylvania,CPA,Provision,
15692,Westmoreland City,,Westmoreland,Pennsylvania,CPA,Provision,
16692,Westover,,Clearfield,Pennsylvania,CPA,Provision,
15090,Wexford,,Allegheny,Pennsylvania,CPA,Provision,
15380,Wind Ridge,,Greene,Pennsylvania,CPA,Provision,
17366,Windsor,,York,Pennsylvania,CPA,Provision,
17368,Wrightsville,,York,Pennsylvania,CPA,Provision,
17401,York,,York,Pennsylvania,CPA,Provision,
17402,York,,York,Pennsylvania,CPA,Provision,
17403,York,,York,Pennsylvania,CPA,Provision,
17404,York,,York,Pennsylvania,CPA,Provision,
17405,York,,York,Pennsylvania,CPA,Provision,
17406,York,,York,Pennsylvania,CPA,Provision,
17407,York,,York,Pennsylvania,CPA,Provision,
17408,York,,York,Pennsylvania,CPA,Provision,
17370,York Haven,,York,Pennsylvania,CPA,Provision,
17371,York New Salem,,York,Pennsylvania,CPA,Provision,
15697,Youngwood,,Westmoreland,Pennsylvania,CPA,Provision,
16063,Zelienople,,Butler,Pennsylvania,CPA,Provision,
