Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
17301,Abbottstown,,Adams,Pennsylvania,CPA,Provision,
15410,Adah,,Fayette,Pennsylvania,CPA,Provision,
15411,Addison,,Somerset,Pennsylvania,CPA,Provision,
17302,Airville,,York,Pennsylvania,CPA,Provision,
15310,Aleppo,,Greene,Pennsylvania,CPA,Provision,
15001,Aliquippa,,Beaver,Pennsylvania,CPA,Provision,
15412,Allenport,,Washington,Pennsylvania,CPA,Provision,
15101,Allison Park,,Allegheny,Pennsylvania,CPA,Provision,
15612,Alverton,,Westmoreland,Pennsylvania,CPA,Provision,
15003,Ambridge,,Beaver,Pennsylvania,CPA,Provision,
15311,Amity,,Washington,Pennsylvania,CPA,Provision,
15615,Ardara,,Westmoreland,Pennsylvania,CPA,Provision,
17303,Arendtsville,,Adams,Pennsylvania,CPA,Provision,
15616,Armbrust,,Westmoreland,Pennsylvania,CPA,Provision,
17304,Aspers,,Adams,Pennsylvania,CPA,Provision,
15312,Avella,,Washington,Pennsylvania,CPA,Provision,
15005,Baden,,Beaver,Pennsylvania,CPA,Provision,
15313,Beallsville,,Washington,Pennsylvania,CPA,Provision,
15009,Beaver,,Beaver,Pennsylvania,CPA,Provision,
15010,Beaver Falls,,Beaver,Pennsylvania,CPA,Provision,
15522,Bedford,,Bedford,Pennsylvania,CPA,Provision,
15012,Belle Vernon,,Fayette,Pennsylvania,CPA,Provision,
16823,Bellefonte,,Centre,Pennsylvania,CPA,Provision,
17306,Bendersville,,Adams,Pennsylvania,CPA,Provision,
15314,Bentleyville,,Washington,Pennsylvania,CPA,Provision,
15530,Berlin,,Somerset,Pennsylvania,CPA,Provision,
16112,Bessemer,,Lawrence,Pennsylvania,CPA,Provision,
15102,Bethel Park,,Allegheny,Pennsylvania,CPA,Provision,
17307,Biglerville,,Adams,Pennsylvania,CPA,Provision,
17214,Blue Ridge Summit,,Franklin,Pennsylvania,CPA,Provision,
16827,Boalsburg,,Centre,Pennsylvania,CPA,Provision,
15315,Bobtown,,Greene,Pennsylvania,CPA,Provision,
16020,Boyers,,Butler,Pennsylvania,CPA,Provision,
15532,Boynton,,Somerset,Pennsylvania,CPA,Provision,
16701,Bradford,,Mckean,Pennsylvania,CPA,Provision,
15015,Bradfordwoods,,Allegheny,Pennsylvania,CPA,Provision,
15316,Brave,,Greene,Pennsylvania,CPA,Provision,
15017,Bridgeville,,Allegheny,Pennsylvania,CPA,Provision,
15825,Brookville,,Jefferson,Pennsylvania,CPA,Provision,
15416,Brownfield,,Fayette,Pennsylvania,CPA,Provision,
15417,Brownsville,,Fayette,Pennsylvania,CPA,Provision,
16022,Bruin,,Butler,Pennsylvania,CPA,Provision,
15018,Buena Vista,,Allegheny,Pennsylvania,CPA,Provision,
15019,Bulger,,Washington,Pennsylvania,CPA,Provision,
15020,Bunola,,Allegheny,Pennsylvania,CPA,Provision,
15021,Burgettstown,,Washington,Pennsylvania,CPA,Provision,
16001,Butler,,Butler,Pennsylvania,CPA,Provision,
15419,California,,Washington,Pennsylvania,CPA,Provision,
15317,Canonsburg,,Washington,Pennsylvania,CPA,Provision,
15420,Cardale,,Fayette,Pennsylvania,CPA,Provision,
15320,Carmichaels,,Greene,Pennsylvania,CPA,Provision,
15106,Carnegie,,Allegheny,Pennsylvania,CPA,Provision,
17310,Cashtown,,Adams,Pennsylvania,CPA,Provision,
15321,Cecil,,Washington,Pennsylvania,CPA,Provision,
16828,Centre Hall,,Centre,Pennsylvania,CPA,Provision,
17201,Chambersburg,,Franklin,Pennsylvania,CPA,Provision,
17202,Chambersburg,,Franklin,Pennsylvania,CPA,Provision,
15022,Charleroi,,Washington,Pennsylvania,CPA,Provision,
16025,Chicora,,Butler,Pennsylvania,CPA,Provision,
15025,Clairton,,Allegheny,Pennsylvania,CPA,Provision,
16829,Clarence,,Centre,Pennsylvania,CPA,Provision,
16313,Clarendon,,Warren,Pennsylvania,CPA,Provision,
15322,Clarksville,,Greene,Pennsylvania,CPA,Provision,
15323,Claysville,,Washington,Pennsylvania,CPA,Provision,
15026,Clinton,,Beaver,Pennsylvania,CPA,Provision,
16372,Clintonville,,Venango,Pennsylvania,CPA,Provision,
15728,Clymer,,Indiana,Pennsylvania,CPA,Provision,
15423,Coal Center,,Washington,Pennsylvania,CPA,Provision,
