Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
44087,Twinsburg,,Summit,Ohio,DEO,Provision,
44683,Uhrichsville,,Tuscarawas,Ohio,DEO,Provision,
44685,Uniontown,,Stark,Ohio,DEO,Provision,
44088,Unionville,,Ashtabula,Ohio,DEO,Provision,
45891,Van Wert,,Van Wert,Ohio,DEO,Provision,
44473,Vienna,,Trumbull,Ohio,DEO,Provision,
45784,Vincent,,Washington,Ohio,DEO,Provision,
44281,Wadsworth,,Medina,Ohio,DEO,Provision,
44282,Wadsworth,,Medina,Ohio,DEO,Provision,
45895,Wapakoneta,,Auglaize,Ohio,DEO,Provision,
44481,Warren,,Trumbull,Ohio,DEO,Provision,
44482,Warren,,Trumbull,Ohio,DEO,Provision,
44483,Warren,,Trumbull,Ohio,DEO,Provision,
44484,Warren,,Trumbull,Ohio,DEO,Provision,
44485,Warren,,Trumbull,Ohio,DEO,Provision,
45786,Waterford,,Washington,Ohio,DEO,Provision,
44688,Waynesburg,,Stark,Ohio,DEO,Provision,
44491,West Farmington,,Trumbull,Ohio,DEO,Provision,
44145,Westlake,,Cuyahoga,Ohio,DEO,Provision,
45788,Whipple,,Washington,Ohio,DEO,Provision,
44092,Wickliffe,,Lake,Ohio,DEO,Provision,
44094,Willoughby,,Lake,Ohio,DEO,Provision,
45898,Willshire,,Van Wert,Ohio,DEO,Provision,
44288,Windham,,Portage,Ohio,DEO,Provision,
44099,Windsor,,Ashtabula,Ohio,DEO,Provision,
45789,Wingett Run,,Washington,Ohio,DEO,Provision,
43793,Woodsfield,,Monroe,Ohio,DEO,Provision,
44691,Wooster,,Wayne,Ohio,DEO,Provision,
44501,Youngstown,,Mahoning,Ohio,DEO,Provision,
44502,Youngstown,,Mahoning,Ohio,DEO,Provision,
44503,Youngstown,,Mahoning,Ohio,DEO,Provision,
44504,Youngstown,,Mahoning,Ohio,DEO,Provision,
44505,Youngstown,,Mahoning,Ohio,DEO,Provision,
44506,Youngstown,,Mahoning,Ohio,DEO,Provision,
44507,Youngstown,,Mahoning,Ohio,DEO,Provision,
44509,Youngstown,,Mahoning,Ohio,DEO,Provision,
44510,Youngstown,,Mahoning,Ohio,DEO,Provision,
44511,Youngstown,,Mahoning,Ohio,DEO,Provision,
44512,Youngstown,,Mahoning,Ohio,DEO,Provision,
44513,Youngstown,,Mahoning,Ohio,DEO,Provision,
44514,Youngstown,,Mahoning,Ohio,DEO,Provision,
44515,Youngstown,,Mahoning,Ohio,DEO,Provision,
44555,Youngstown,,Mahoning,Ohio,DEO,Provision,
