Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
44301,Akron,,Summit,Ohio,DEO,Provision,
44302,Akron,,Summit,Ohio,DEO,Provision,
44303,Akron,,Summit,Ohio,DEO,Provision,
44304,Akron,,Summit,Ohio,DEO,Provision,
44305,Akron,,Summit,Ohio,DEO,Provision,
44306,Akron,,Summit,Ohio,DEO,Provision,
44307,Akron,,Summit,Ohio,DEO,Provision,
44308,Akron,,Summit,Ohio,DEO,Provision,
44309,Akron,,Summit,Ohio,DEO,Provision,
44310,Akron,,Summit,Ohio,DEO,Provision,
44311,Akron,,Summit,Ohio,DEO,Provision,
44312,Akron,,Summit,Ohio,DEO,Provision,
44313,Akron,,Summit,Ohio,DEO,Provision,
44314,Akron,,Summit,Ohio,DEO,Provision,
44316,Akron,,Summit,Ohio,DEO,Provision,
44319,Akron,,Summit,Ohio,DEO,Provision,
44320,Akron,,Summit,Ohio,DEO,Provision,
44321,Akron,,Summit,Ohio,DEO,Provision,
44333,Akron,,Summit,Ohio,DEO,Provision,
44317,Akron,,Summit,Ohio,DEO,Provision,
44325,Akron,,Summit,Ohio,DEO,Provision,
44326,Akron,,Summit,Ohio,DEO,Provision,
44328,Akron,,Summit,Ohio,DEO,Provision,
44601,Alliance,,Stark,Ohio,DEO,Provision,
45302,Anna                      ,,Shelby,Ohio,DEO,Provision,
44606,Apple Creek,,Wayne,Ohio,DEO,Provision,
44004,Ashtabula,,Ashtabula,Ohio,DEO,Provision,
44201,Atwater,,Portage,Ohio,DEO,Provision,
44202,Aurora,,Portage,Ohio,DEO,Provision,
44010,Austinburg,,Ashtabula,Ohio,DEO,Provision,
43804,Baltic,,Tuscarawas,Ohio,DEO,Provision,
44203,Barberton,,Summit,Ohio,DEO,Provision,
45712,Barlow,,Washington,Ohio,DEO,Provision,
44210,Bath,,Summit,Ohio,DEO,Provision,
44122,Beachwood,,Cuyahoga,Ohio,DEO,Provision,
43716,Beallsville,,Monroe,Ohio,DEO,Provision,
45808,Beaverdam,,Allen,Ohio,DEO,Provision,
44146,Bedford,,Cuyahoga,Ohio,DEO,Provision,
44609,Beloit,,Mahoning,Ohio,DEO,Provision,
45714,Belpre,,Washington,Ohio,DEO,Provision,
44401,Berlin Center,,Mahoning,Ohio,DEO,Provision,
45817,Bluffton,,Allen,Ohio,DEO,Provision,
44612,Bolivar,,Tuscarawas,Ohio,DEO,Provision,
45306,Botkins                   ,,Shelby,Ohio,DEO,Provision,
44211,Brady Lake,,Portage,Ohio,DEO,Provision,
44141,Brecksville,,Cuyahoga,Ohio,DEO,Provision,
43006,Brinkhaven,,Knox,Ohio,DEO,Provision,
44402,Bristolville,,Trumbull,Ohio,DEO,Provision,
44147,Broadview Heights,,Cuyahoga,Ohio,DEO,Provision,
44403,Brookfield,,Trumbull,Ohio,DEO,Provision,
44142,Brookpark,,Cuyahoga,Ohio,DEO,Provision,
44021,Burton,,Geauga,Ohio,DEO,Provision,
45820,Cairo,,Allen,Ohio,DEO,Provision,
43725,Cambridge,,Guernsey,Ohio,DEO,Provision,
44405,Campbell,,Mahoning,Ohio,DEO,Provision,
44614,Canal Fulton,,Stark,Ohio,DEO,Provision,
44406,Canfield,,Mahoning,Ohio,DEO,Provision,
44702,Canton,,Stark,Ohio,DEO,Provision,
44703,Canton,,Stark,Ohio,DEO,Provision,
44704,Canton,,Stark,Ohio,DEO,Provision,
44705,Canton,,Stark,Ohio,DEO,Provision,
44706,Canton,,Stark,Ohio,DEO,Provision,
44707,Canton,,Stark,Ohio,DEO,Provision,
44708,Canton,,Stark,Ohio,DEO,Provision,
44709,Canton,,Stark,Ohio,DEO,Provision,
44710,Canton,,Stark,Ohio,DEO,Provision,
44711,Canton,,Stark,Ohio,DEO,Provision,
44714,Canton,,Stark,Ohio,DEO,Provision,
44718,Canton,,Stark,Ohio,DEO,Provision,
44721,Canton,,Stark,Ohio,DEO,Provision,
44701,Canton,,Stark,Ohio,DEO,Provision,
45821,Cecil,,Paulding,Ohio,DEO,Provision,
45822,Celina,,Mercer,Ohio,DEO,Provision,
44022,Chagrin Falls,,Cuyahoga,Ohio,DEO,Provision,
44023,Chagrin Falls,,Geauga,Ohio,DEO,Provision,
44024,Chardon,,Geauga,Ohio,DEO,Provision,
44026,Chesterland,,Geauga,Ohio,DEO,Provision,
45826,Chickasaw,,Mercer,Ohio,DEO,Provision,
43915,Clarington,,Monroe,Ohio,DEO,Provision,
44101,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44102,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44103,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44104,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44105,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44106,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44108,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44109,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44110,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44111,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44112,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44113,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44114,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44115,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44118,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44119,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44120,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44121,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44124,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44125,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44126,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44127,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44128,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44129,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44130,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44134,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44135,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44143,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44144,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44199,Cleveland,,Cuyahoga,Ohio,DEO,Provision,
44216,Clinton,,Summit,Ohio,DEO,Provision,
