Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
45301,Alpha,,Greene,Ohio,DPL,Provision,
45302,Anna,,Shelby,Ohio,DPL,Provision,
45303,Ansonia,,Darke,Ohio,DPL,Provision,
45304,Arcanum,,Darke,Ohio,DPL,Provision,
45305,Bellbrook,,Greene,Ohio,DPL,Provision,
43310,Belle Center,,Logan,Ohio,DPL,Provision,
43311,Bellefontaine,,Logan,Ohio,DPL,Provision,
43106,Bloomingburg,,Fayette,Ohio,DPL,Provision,
45306,Botkins,,Shelby,Ohio,DPL,Provision,
45307,Bowersville,,Greene,Ohio,DPL,Provision,
45308,Bradford,,Miami,Ohio,DPL,Provision,
43007,Broadway,,Union,Ohio,DPL,Provision,
45309,Brookville,,Montgomery,Ohio,DPL,Provision,
45310,Burkettsville,,Mercer,Ohio,DPL,Provision,
43009,Cable,,Champaign,Ohio,DPL,Provision,
45311,Camden,,Preble,Ohio,DPL,Provision,
45312,Casstown,,Miami,Ohio,DPL,Provision,
45314,Cedarville,,Greene,Ohio,DPL,Provision,
45822,Celina,,Mercer,Ohio,DPL,Provision,
45826,Chickasaw,,Mercer,Ohio,DPL,Provision,
45389,Christiansburg,,Champaign,Ohio,DPL,Provision,
45113,Clarksville,,Clinton,Ohio,DPL,Provision,
45315,Clayton,,Montgomery,Ohio,DPL,Provision,
45316,Clifton,,Greene,Ohio,DPL,Provision,
45828,Coldwater,,Mercer,Ohio,DPL,Provision,
45317,Conover,,Miami,Ohio,DPL,Provision,
45318,Covington,,Miami,Ohio,DPL,Provision,
45114,Cuba,,Clinton,Ohio,DPL,Provision,
45402,Dayton,,Montgomery,Ohio,DPL,Provision,
45406,Dayton,,Montgomery,Ohio,DPL,Provision,
45409,Dayton,,Montgomery,Ohio,DPL,Provision,
45414,Dayton,,Montgomery,Ohio,DPL,Provision,
45420,Dayton,,Montgomery,Ohio,DPL,Provision,
45431,Dayton,,Greene,Ohio,DPL,Provision,
45434,Dayton,,Greene,Ohio,DPL,Provision,
45439,Dayton,,Montgomery,Ohio,DPL,Provision,
45440,Dayton,,Montgomery,Ohio,DPL,Provision,
45458,Dayton,,Montgomery,Ohio,DPL,Provision,
45403,Dayton,,Montgomery,Ohio,DPL,Provision,
45404,Dayton,,Montgomery,Ohio,DPL,Provision,
45405,Dayton,,Montgomery,Ohio,DPL,Provision,
45410,Dayton,,Montgomery,Ohio,DPL,Provision,
45415,Dayton,,Montgomery,Ohio,DPL,Provision,
45416,Dayton,,Montgomery,Ohio,DPL,Provision,
45417,Dayton,,Montgomery,Ohio,DPL,Provision,
45419,Dayton,,Montgomery,Ohio,DPL,Provision,
45424,Dayton,,Montgomery,Ohio,DPL,Provision,
45426,Dayton,,Montgomery,Ohio,DPL,Provision,
45428,Dayton,,Montgomery,Ohio,DPL,Provision,
45429,Dayton,,Montgomery,Ohio,DPL,Provision,
45430,Dayton,,Montgomery,Ohio,DPL,Provision,
45432,Dayton,,Greene,Ohio,DPL,Provision,
45449,Dayton,,Montgomery,Ohio,DPL,Provision,
45459,Dayton,,Montgomery,Ohio,DPL,Provision,
45469,Dayton,,Montgomery,Ohio,DPL,Provision,
45433,Dayton,,Greene,Ohio,DPL,Provision,
45435,Dayton,,Greene,Ohio,DPL,Provision,
45437,Dayton,,Montgomery,Ohio,DPL,Provision,
43318,De Graff,,Logan,Ohio,DPL,Provision,
43319,East Liberty,,Logan,Ohio,DPL,Provision,
45320,Eaton,,Preble,Ohio,DPL,Provision,
45321,Eldorado,,Preble,Ohio,DPL,Provision,
45322,Englewood,,Montgomery,Ohio,DPL,Provision,
45324,Fairborn,,Greene,Ohio,DPL,Provision,
45325,Farmersville,,Montgomery,Ohio,DPL,Provision,
45326,Fletcher,,Miami,Ohio,DPL,Provision,
45845,Fort Loramie,,Shelby,Ohio,DPL,Provision,
45846,Fort Recovery,,Mercer,Ohio,DPL,Provision,
45327,Germantown,,Montgomery,Ohio,DPL,Provision,
45328,Gettysburg,,Darke,Ohio,DPL,Provision,
45330,Gratis,,Preble,Ohio,DPL,Provision,
45123,Greenfield,,Highland,Ohio,DPL,Provision,
45331,Greenville,,Darke,Ohio,DPL,Provision,
45032,Harveysburg,,Warren,Ohio,DPL,Provision,
45132,Highland,,Highland,Ohio,DPL,Provision,
45332,Hollansburg,,Darke,Ohio,DPL,Provision,
45333,Houston,,Shelby,Ohio,DPL,Provision,
43324,Huntsville,,Logan,Ohio,DPL,Provision,
43029,Irwin,,Union,Ohio,DPL,Provision,
45334,Jackson Center,,Shelby,Ohio,DPL,Provision,
45335,Jamestown,,Greene,Ohio,DPL,Provision,
43128,Jeffersonville,,Fayette,Ohio,DPL,Provision,
45336,Kettlersville,,Shelby,Ohio,DPL,Provision,
43331,Lakeview,,Logan,Ohio,DPL,Provision,
