Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
48721,Black River,Place,Alcona,Michigan,DTE,Provision,
48740,Harrisville,City,Alcona,Michigan,DTE,Provision,
48742,Lincoln,Village,Alcona,Michigan,DTE,Provision,
48745,Mikado,Place,Alcona,Michigan,DTE,Provision,
48762,Spruce,Place,Alcona,Michigan,DTE,Provision,
49806,Au Train,Place,Alger,Michigan,DTE,Provision,
49816,Chatham,Village,Alger,Michigan,DTE,Provision,
49825,Eben Junction,Place,Alger,Michigan,DTE,Provision,
49862,Munising,City,Alger,Michigan,DTE,Provision,
49826,Rumely,Place,Alger,Michigan,DTE,Provision,
49884,Shingleton,Place,Alger,Michigan,DTE,Provision,
49891,Trenary,Place,Alger,Michigan,DTE,Provision,
49895,Wetmore,Place,Alger,Michigan,DTE,Provision,
49323,Dorr,Place,Allegan,Michigan,DTE,Provision,
49335,Moline,Place,Allegan,Michigan,DTE,Provision,
49707,Alpena,City,Alpena,Michigan,DTE,Provision,
49744,Herron,Place,Alpena,Michigan,DTE,Provision,
49766,Ossineke,Place,Alpena,Michigan,DTE,Provision,
49612,Alden,Place,Antrim,Michigan,DTE,Provision,
49615,Bellaire,Village,Antrim,Michigan,DTE,Provision,
49622,Central Lake,Village,Antrim,Michigan,DTE,Provision,
49629,Elk Rapids,Village,Antrim,Michigan,DTE,Provision,
49648,Kewadin,Place,Antrim,Michigan,DTE,Provision,
49659,Mancelona,Village,Antrim,Michigan,DTE,Provision,
49616,Benzonia,Village,Benzie,Michigan,DTE,Provision,
49617,Beulah,Village,Benzie,Michigan,DTE,Provision,
49628,Elberta,Village,Benzie,Michigan,DTE,Provision,
49635,Frankfort,City,Benzie,Michigan,DTE,Provision,
49640,Honor,Village,Benzie,Michigan,DTE,Provision,
49650,Lake Ann,Village,Benzie,Michigan,DTE,Provision,
49712,Boyne City,City,Charlevoix,Michigan,DTE,Provision,
49713,Boyne Falls,Village,Charlevoix,Michigan,DTE,Provision,
49720,Charlevoix,City,Charlevoix,Michigan,DTE,Provision,
49727,East Jordan,City,Charlevoix,Michigan,DTE,Provision,
49721,Cheboygan,City,Cheboygan,Michigan,DTE,Provision,
49701,Mackinaw City,Village,Cheboygan,Michigan,DTE,Provision,
49799,Wolverine,Village,Cheboygan,Michigan,DTE,Provision,
49749,Indian River,Place,Cheboygan,Michigan,DTE,Provision,
49715,Brimley,Place,Chippewa,Michigan,DTE,Provision,
49724,Dafter,Place,Chippewa,Michigan,DTE,Provision,
49788,Kincheloe,Place,Chippewa,Michigan,DTE,Provision,
49786,Kincheloe,Place,Chippewa,Michigan,DTE,Provision,
49785,Kincheloe,Place,Chippewa,Michigan,DTE,Provision,
49784,Kincheloe,Place,Chippewa,Michigan,DTE,Provision,
49752,Kinross,Place,Chippewa,Michigan,DTE,Provision,
49780,Rudyard,Place,Chippewa,Michigan,DTE,Provision,
49783,Sault Ste. Marie,City,Chippewa,Michigan,DTE,Provision,
48617,Clare,City,Clare,Michigan,DTE,Provision,
48622,Farwell,Village,Clare,Michigan,DTE,Provision,
48625,Harrison,City,Clare,Michigan,DTE,Provision,
48632,Lake,Place,Clare,Michigan,DTE,Provision,
48633,Lake George,Place,Clare,Michigan,DTE,Provision,
48853,Maple Rapids,Village,Clinton,Michigan,DTE,Provision,
49733,Frederic,Place,Crawford,Michigan,DTE,Provision,
49739,Grayling,City,Crawford,Michigan,DTE,Provision,
49738,Grayling,City,Crawford,Michigan,DTE,Provision,
49807,Bark River,Place,Delta,Michigan,DTE,Provision,
49829,Escanaba,City,Delta,Michigan,DTE,Provision,
49837,Gladstone,City,Delta,Michigan,DTE,Provision,
49878,Rapid River,Place,Delta,Michigan,DTE,Provision,
49894,Wells,Place,Delta,Michigan,DTE,Provision,
49815,Channing,Place,Dickinson,Michigan,DTE,Provision,
49801,Iron Mountain,City,Dickinson,Michigan,DTE,Provision,
49802,Kingsford,City,Dickinson,Michigan,DTE,Provision,
49852,Loretto,Place,Dickinson,Michigan,DTE,Provision,
49870,Norway,City,Dickinson,Michigan,DTE,Provision,
49876,Quinnesec,Place,Dickinson,Michigan,DTE,Provision,
49881,Sagola,Place,Dickinson,Michigan,DTE,Provision,
49892,Vulcan,City,Dickinson,Michigan,DTE,Provision,
49706,Alanson,Village,Emmet,Michigan,DTE,Provision,
49716,Brutus,Place,Emmet,Michigan,DTE,Provision,
49740,Harbor Springs,City,Emmet,Michigan,DTE,Provision,
49769,Pellston,Village,Emmet,Michigan,DTE,Provision,
49770,Petoskey,City,Emmet,Michigan,DTE,Provision,
49764,Oden,Place,Emmet,Michigan,DTE,Provision,
49610,Acme,Place,Grand Traverse,Michigan,DTE,Provision,
49637,Grawn,Place,Grand Traverse,Michigan,DTE,Provision,
49643,Interlochen,Place,Grand Traverse,Michigan,DTE,Provision,
49649,Kingsley,Village,Grand Traverse,Michigan,DTE,Provision,
49666,Mayfield,Place,Grand Traverse,Michigan,DTE,Provision,
49696,Traverse City,City,Grand Traverse,Michigan,DTE,Provision,
49686,Traverse City,City,Grand Traverse,Michigan,DTE,Provision,
49685,Traverse City,City,Grand Traverse,Michigan,DTE,Provision,
49684,Traverse City,City,Grand Traverse,Michigan,DTE,Provision,
49690,Williamsburg,Place,Grand Traverse,Michigan,DTE,Provision,
49633,Fife Lake,Village,Grand Traverse,Michigan,DTE,Provision,
48830,Elm Hall,Place,Gratiot,Michigan,DTE,Provision,
48856,Middleton,Place,Gratiot,Michigan,DTE,Provision,
48862,North Star,Place,Gratiot,Michigan,DTE,Provision,
48871,Perrinton,Village,Gratiot,Michigan,DTE,Provision,
48874,Pompeii,Place,Gratiot,Michigan,DTE,Provision,
48889,Sumner,Place,Gratiot,Michigan,DTE,Provision,
48809,Belding,City,Ionia,Michigan,DTE,Provision,
48730,East Tawas,City,Iosco,Michigan,DTE,Provision,
48739,Hale,City,Iosco,Michigan,DTE,Provision,
48748,National City,Place,Iosco,Michigan,DTE,Provision,
48750,Oscoda,Place,Iosco,Michigan,DTE,Provision,
48764,Tawas City,City,Iosco,Michigan,DTE,Provision,
48763,Tawas City,City,Iosco,Michigan,DTE,Provision,
48770,Whittemore,City,Iosco,Michigan,DTE,Provision,
49915,Caspian,City,Iron,Michigan,DTE,Provision,
