Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
45001,Addyston,,Hamilton,Ohio,DUKE:G,Provision,
45002,Cleves,,Hamilton,Ohio,DUKE:G,Provision,
45005,Franklin,,Warren,Ohio,DUKE:G,Provision,
45011,Hamilton,,Butler,Ohio,DUKE:G,Provision,
45013,Hamilton,,Butler,Ohio,DUKE:G,Provision,
45014,Fairfield,,Butler,Ohio,DUKE:G,Provision,
45015,Hamilton,,Butler,Ohio,DUKE:G,Provision,
45030,Harrison,,Hamilton,Ohio,DUKE:G,Provision,
45033,Hooven,,Hamilton,Ohio,DUKE:G,Provision,
45034,Kings Mill,,Warren,Ohio,DUKE:G,Provision,
45036,Lebanon,,Warren,Ohio,DUKE:G,Provision,
45039,Mainville,,Warren,Ohio,DUKE:G,Provision,
45040,Mason,,Warren,Ohio,DUKE:G,Provision,
45041,Miamitown,,Hamilton,Ohio,DUKE:G,Provision,
45042,Middletown,,Butler,Ohio,DUKE:G,Provision,
45044,Middletown,,Butler,Ohio,DUKE:G,Provision,
45050,Monroe,,Butler,Ohio,DUKE:G,Provision,
45052,North Bend,,Hamilton,Ohio,DUKE:G,Provision,
45056,Oxford,,Butler,Ohio,DUKE:G,Provision,
45062,Seven Mile,,Butler,Ohio,DUKE:G,Provision,
45065,South Lebanon,,Warren,Ohio,DUKE:G,Provision,
45066,Springboro,,Warren,Ohio,DUKE:G,Provision,
45067,Trenton,,Butler,Ohio,DUKE:G,Provision,
45069,West Chester,,Butler,Ohio,DUKE:G,Provision,
45101,Aberdeen,,Brown,Ohio,DUKE:G,Provision,
45102,Amelia,,Clermont,Ohio,DUKE:G,Provision,
45103,Batavia,,Clermont,Ohio,DUKE:G,Provision,
45105,Bentonville,,Adams,Ohio,DUKE:G,Provision,
45106,Bethel,,Clermont,Ohio,DUKE:G,Provision,
45107,Blanchester,,Brown,Ohio,DUKE:G,Provision,
45111,Camp Dennison,,Hamilton,Ohio,DUKE:G,Provision,
45121,Georgetown,,Brown,Ohio,DUKE:G,Provision,
