Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
45001,Addyston,,Hamilton,Ohio,DUKE:P,Provision,
45002,Cleves,,Hamilton,Ohio,DUKE:P,Provision,
45003,College Corner,,Butler,Ohio,DUKE:P,Provision,
45004,Collinsville,,Butler,Ohio,DUKE:P,Provision,
45005,Franklin,,Warren,Ohio,DUKE:P,Provision,
45011,Hamilton,,Butler,Ohio,DUKE:P,Provision,
45012,Hamilton,,Butler,Ohio,DUKE:P,Provision,
45013,Hamilton,,Butler,Ohio,DUKE:P,Provision,
45014,Fairfield,,Butler,Ohio,DUKE:P,Provision,
45015,Hamilton,,Butler,Ohio,DUKE:P,Provision,
45030,Harrison,,Hamilton,Ohio,DUKE:P,Provision,
45033,Hooven,,Hamilton,Ohio,DUKE:P,Provision,
45034,Kings Mill,,Warren,Ohio,DUKE:P,Provision,
45036,Lebanon,,Warren,Ohio,DUKE:P,Provision,
45039,Mainville,,Warren,Ohio,DUKE:P,Provision,
45040,Mason,,Warren,Ohio,DUKE:P,Provision,
45041,Miamitown,,Hamilton,Ohio,DUKE:P,Provision,
45042,Middletown,,Butler,Ohio,DUKE:P,Provision,
45044,Middletown,,Butler,Ohio,DUKE:P,Provision,
45050,Monroe,,Butler,Ohio,DUKE:P,Provision,
45052,North Bend,,Hamilton,Ohio,DUKE:P,Provision,
45053,Okeana,,Butler,Ohio,DUKE:P,Provision,
45054,Oregonia,,Warren,Ohio,DUKE:P,Provision,
45055,Overpeck,,Butler,Ohio,DUKE:P,Provision,
45056,Oxford,,Butler,Ohio,DUKE:P,Provision,
45061,Ross,,Butler,Ohio,DUKE:P,Provision,
45062,Seven Mile,,Butler,Ohio,DUKE:P,Provision,
45063,Shandon,,Butler,Ohio,DUKE:P,Provision,
45064,Somerville,,Butler,Ohio,DUKE:P,Provision,
45065,South Lebanon,,Warren,Ohio,DUKE:P,Provision,
45066,Springboro,,Warren,Ohio,DUKE:P,Provision,
45067,Trenton,,Butler,Ohio,DUKE:P,Provision,
45068,Waynesville,,Warren,Ohio,DUKE:P,Provision,
45069,West Chester,,Butler,Ohio,DUKE:P,Provision,
45070,West Elkton,,Preble,Ohio,DUKE:P,Provision,
45101,Aberdeen,,Brown,Ohio,DUKE:P,Provision,
45102,Amelia,,Clermont,Ohio,DUKE:P,Provision,
45103,Batavia,,Clermont,Ohio,DUKE:P,Provision,
45106,Bethel,,Clermont,Ohio,DUKE:P,Provision,
45107,Blanchester,,Brown,Ohio,DUKE:P,Provision,
45111,Camp Dennison,,Hamilton,Ohio,DUKE:P,Provision,
45112,Chilo,,Clermont,Ohio,DUKE:P,Provision,
45113,Clarksville,,Clinton,Ohio,DUKE:P,Provision,
45118,Fayetteville,,Brown,Ohio,DUKE:P,Provision,
45119,Feesburg,,Brown,Ohio,DUKE:P,Provision,
45120,Felicity,,Clermont,Ohio,DUKE:P,Provision,
45121,Georgetown,,Brown,Ohio,DUKE:P,Provision,
45122,Goshen,,Clermont,Ohio,DUKE:P,Provision,
45130,Hamersville,,Brown,Ohio,DUKE:P,Provision,
45131,Higginsport,,Brown,Ohio,DUKE:P,Provision,
45140,Loveland,,Clermont,Ohio,DUKE:P,Provision,
45142,St. Martin,,Brown,Ohio,DUKE:P,Provision,
45147,Miamiville,,Clermont,Ohio,DUKE:P,Provision,
45148,Midland,,Clinton,Ohio,DUKE:P,Provision,
45150,Milford,,Clermont,Ohio,DUKE:P,Provision,
45152,Morrow,,Warren,Ohio,DUKE:P,Provision,
45153,Moscow,,Clermont,Ohio,DUKE:P,Provision,
45154,Mount Orab,,Brown,Ohio,DUKE:P,Provision,
45156,Neville,,Clermont,Ohio,DUKE:P,Provision,
45157,New Richmond,,Clermont,Ohio,DUKE:P,Provision,
45158,Newtonsville,,Clermont,Ohio,DUKE:P,Provision,
45160,Owensville,,Clermont,Ohio,DUKE:P,Provision,
45162,Pleasant Plain,,Warren,Ohio,DUKE:P,Provision,
45167,Ripley,,Brown,Ohio,DUKE:P,Provision,
45168,Russellville,,Brown,Ohio,DUKE:P,Provision,
45171,Sardinia,,Brown,Ohio,DUKE:P,Provision,
45174,Terrace Park,,Hamilton,Ohio,DUKE:P,Provision,
45176,Williamsburg,,Clermont,Ohio,DUKE:P,Provision,
45202,Cincinnati,,Hamilton,Ohio,DUKE:P,Provision,
45203,Cincinnati,,Hamilton,Ohio,DUKE:P,Provision,
45204,Cincinnati,,Hamilton,Ohio,DUKE:P,Provision,
