Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
44004,Ashtabula,,Ashtabula,Ohio,FE:CEI,Provision,
44010,Austinburg,,Ashtabula,Ohio,FE:CEI,Provision,
44011,Avon,,Lorain,Ohio,FE:CEI,Provision,
44012,Avon Lake,,Lorain,Ohio,FE:CEI,Provision,
44140,Bay Village,,Cuyahoga,Ohio,FE:CEI,Provision,
44122,Beachwood,,Cuyahoga,Ohio,FE:CEI,Provision,
44146,Bedford,,Cuyahoga,Ohio,FE:CEI,Provision,
44017,Berea,,Cuyahoga,Ohio,FE:CEI,Provision,
44141,Brecksville,,Cuyahoga,Ohio,FE:CEI,Provision,
44147,Broadview Heights,,Cuyahoga,Ohio,FE:CEI,Provision,
44142,Brookpark,,Cuyahoga,Ohio,FE:CEI,Provision,
44021,Burton,,Geauga,Ohio,FE:CEI,Provision,
44022,Chagrin Falls,,Cuyahoga,Ohio,FE:CEI,Provision,
44023,Chagrin Falls,,Geauga,Ohio,FE:CEI,Provision,
44024,Chardon,,Geauga,Ohio,FE:CEI,Provision,
44026,Chesterland,,Geauga,Ohio,FE:CEI,Provision,
44105,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44125,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44120,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44104,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44127,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44112,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44118,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44106,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44121,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44109,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44102,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44128,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44103,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44110,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44111,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44113,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44144,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44135,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44134,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44108,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44129,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44114,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44115,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44101,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44119,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44130,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44143,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44124,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44126,Cleveland,,Cuyahoga,Ohio,FE:CEI,Provision,
44030,Conneaut,,Ashtabula,Ohio,FE:CEI,Provision,
44033,East Claridon,,Geauga,Ohio,FE:CEI,Provision,
44095,Eastlake,,Lake,Ohio,FE:CEI,Provision,
44097,Eastlake,,Lake,Ohio,FE:CEI,Provision,
44117,Euclid,,Cuyahoga,Ohio,FE:CEI,Provision,
44132,Euclid,,Cuyahoga,Ohio,FE:CEI,Provision,
44123,Euclid,,Cuyahoga,Ohio,FE:CEI,Provision,
44040,Gates Mills,,Cuyahoga,Ohio,FE:CEI,Provision,
44041,Geneva,,Ashtabula,Ohio,FE:CEI,Provision,
44045,Grand River,,Lake,Ohio,FE:CEI,Provision,
44046,Huntsburg,,Geauga,Ohio,FE:CEI,Provision,
44131,Independence,,Cuyahoga,Ohio,FE:CEI,Provision,
44047,Jefferson,,Ashtabula,Ohio,FE:CEI,Provision,
44048,Kingsville,,Ashtabula,Ohio,FE:CEI,Provision,
44107,Lakewood,,Cuyahoga,Ohio,FE:CEI,Provision,
44057,Madison,,Lake,Ohio,FE:CEI,Provision,
44137,Maple Heights,,Cuyahoga,Ohio,FE:CEI,Provision,
44060,Mentor,,Lake,Ohio,FE:CEI,Provision,
44062,Middlefield,,Geauga,Ohio,FE:CEI,Provision,
44064,Montville,,Geauga,Ohio,FE:CEI,Provision,
44065,Newbury,,Geauga,Ohio,FE:CEI,Provision,
44068,North Kingsville,,Ashtabula,Ohio,FE:CEI,Provision,
44070,North Olmsted,,Cuyahoga,Ohio,FE:CEI,Provision,
44133,North Royalton,,Cuyahoga,Ohio,FE:CEI,Provision,
44072,Novelty,,Geauga,Ohio,FE:CEI,Provision,
44138,Olmsted Falls,,Cuyahoga,Ohio,FE:CEI,Provision,
44076,Orwell,,Ashtabula,Ohio,FE:CEI,Provision,
44077,Painesville,,Lake,Ohio,FE:CEI,Provision,
44080,Parkman,,Geauga,Ohio,FE:CEI,Provision,
44081,Perry,,Lake,Ohio,FE:CEI,Provision,
44082,Pierpont,,Ashtabula,Ohio,FE:CEI,Provision,
44084,Rock Creek,,Ashtabula,Ohio,FE:CEI,Provision,
44116,Rocky River,,Cuyahoga,Ohio,FE:CEI,Provision,
44085,Rome,,Ashtabula,Ohio,FE:CEI,Provision,
44139,Solon,,Cuyahoga,Ohio,FE:CEI,Provision,
44136,Strongsville,,Cuyahoga,Ohio,FE:CEI,Provision,
44149,Strongsville,,Cuyahoga,Ohio,FE:CEI,Provision,
44086,Thompson,,Geauga,Ohio,FE:CEI,Provision,
44088,Unionville,,Ashtabula,Ohio,FE:CEI,Provision,
44145,Westlake,,Cuyahoga,Ohio,FE:CEI,Provision,
44092,Wickliffe,,Lake,Ohio,FE:CEI,Provision,
44094,Willoughby,,Lake,Ohio,FE:CEI,Provision,
44099,Windsor,,Ashtabula,Ohio,FE:CEI,Provision,
