Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
44313,Akron,,Summit,Ohio,FE:OE,Provision,
44312,Akron,,Summit,Ohio,FE:OE,Provision,
44333,Akron,,Summit,Ohio,FE:OE,Provision,
44301,Akron,,Summit,Ohio,FE:OE,Provision,
44320,Akron,,Summit,Ohio,FE:OE,Provision,
44305,Akron,,Summit,Ohio,FE:OE,Provision,
44308,Akron,,Summit,Ohio,FE:OE,Provision,
44319,Akron,,Summit,Ohio,FE:OE,Provision,
44314,Akron,,Summit,Ohio,FE:OE,Provision,
44306,Akron,,Summit,Ohio,FE:OE,Provision,
44310,Akron,,Summit,Ohio,FE:OE,Provision,
44311,Akron,,Summit,Ohio,FE:OE,Provision,
44307,Akron,,Summit,Ohio,FE:OE,Provision,
44321,Akron,,Summit,Ohio,FE:OE,Provision,
44304,Akron,,Summit,Ohio,FE:OE,Provision,
44302,Akron,,Summit,Ohio,FE:OE,Provision,
44303,Akron,,Summit,Ohio,FE:OE,Provision,
44316,Akron,,Summit,Ohio,FE:OE,Provision,
44309,Akron,,Summit,Ohio,FE:OE,Provision,
44601,Alliance,,Stark,Ohio,FE:OE,Provision,
44001,Amherst,,Lorain,Ohio,FE:OE,Provision,
43002,Amlin,,Franklin,Ohio,FE:OE,Provision,
44003,Andover,,Ashtabula,Ohio,FE:OE,Provision,
44805,Ashland,,Ashland,Ohio,FE:OE,Provision,
43003,Ashley,,Delaware,Ohio,FE:OE,Provision,
44201,Atwater,,Portage,Ohio,FE:OE,Provision,
44607,Augusta,,Carroll,Ohio,FE:OE,Provision,
44202,Aurora,,Portage,Ohio,FE:OE,Provision,
44011,Avon,,Lorain,Ohio,FE:OE,Provision,
44203,Barberton,,Summit,Ohio,FE:OE,Provision,
44210,Bath,,Summit,Ohio,FE:OE,Provision,
44608,Beach City,,Stark,Ohio,FE:OE,Provision,
44811,Bellevue,,Huron,Ohio,FE:OE,Provision,
44813,Bellville,,Richland,Ohio,FE:OE,Provision,
44609,Beloit,,Mahoning,Ohio,FE:OE,Provision,
44401,Berlin Center,,Mahoning,Ohio,FE:OE,Provision,
44814,Berlin Heights,,Erie,Ohio,FE:OE,Provision,
44816,Birmingham,,Erie,Ohio,FE:OE,Provision,
44211,Brady Lake,,Portage,Ohio,FE:OE,Provision,
44613,Brewster,,Stark,Ohio,FE:OE,Provision,
44402,Bristolville,,Trumbull,Ohio,FE:OE,Provision,
44403,Brookfield,,Trumbull,Ohio,FE:OE,Provision,
44212,Brunswick,,Medina,Ohio,FE:OE,Provision,
44404,Burghill,,Trumbull,Ohio,FE:OE,Provision,
44822,Butler,,Richland,Ohio,FE:OE,Provision,
43314,Caledonia,,Marion,Ohio,FE:OE,Provision,
44405,Campbell,,Mahoning,Ohio,FE:OE,Provision,
44614,Canal Fulton,,Stark,Ohio,FE:OE,Provision,
44406,Canfield,,Mahoning,Ohio,FE:OE,Provision,
44721,Canton,,Stark,Ohio,FE:OE,Provision,
44718,Canton,,Stark,Ohio,FE:OE,Provision,
43315,Cardington,,Morrow,Ohio,FE:OE,Provision,
44824,Castalia,,Erie,Ohio,FE:OE,Provision,
43010,Catawba,,Clark,Ohio,FE:OE,Provision,
43317,Chesterville,,Morrow,Ohio,FE:OE,Provision,
44215,Chippewa Lake,,Medina,Ohio,FE:OE,Provision,
44216,Clinton,,Summit,Ohio,FE:OE,Provision,
44826,Collins,,Huron,Ohio,FE:OE,Provision,
44028,Columbia Station,,Lorain,Ohio,FE:OE,Provision,
44408,Columbiana,,Columbiana,Ohio,FE:OE,Provision,
44410,Cortland,,Trumbull,Ohio,FE:OE,Provision,
44827,Crestline,,Crawford,Ohio,FE:OE,Provision,
44217,Creston,,Wayne,Ohio,FE:OE,Provision,
44223,Cuyahoga Falls,,Summit,Ohio,FE:OE,Provision,
44221,Cuyahoga Falls,,Summit,Ohio,FE:OE,Provision,
44618,Dalton,,Wayne,Ohio,FE:OE,Provision,
44619,Damascus,,Mahoning,Ohio,FE:OE,Provision,
44411,Deerfield,,Portage,Ohio,FE:OE,Provision,
43015,Delaware,,Delaware,Ohio,FE:OE,Provision,
44412,Diamond,,Portage,Ohio,FE:OE,Provision,
45319,Donnelsville,,Clark,Ohio,FE:OE,Provision,
44032,Dorset,,Ashtabula,Ohio,FE:OE,Provision,
44230,Doylestown,,Wayne,Ohio,FE:OE,Provision,
44413,East Palestine,,Columbiana,Ohio,FE:OE,Provision,
44625,East Rochester,,Columbiana,Ohio,FE:OE,Provision,
43320,Edison,,Morrow,Ohio,FE:OE,Provision,
44415,Elkton,,Columbiana,Ohio,FE:OE,Provision,
44416,Ellsworth,,Mahoning,Ohio,FE:OE,Provision,
44035,Elyria,,Lorain,Ohio,FE:OE,Provision,
44036,Elyria,,Lorain,Ohio,FE:OE,Provision,
45323,Enon,,Clark,Ohio,FE:OE,Provision,
45324,Fairborn,,Greene,Ohio,FE:OE,Provision,
44417,Farmdale,,Trumbull,Ohio,FE:OE,Provision,
44828,Flat Rock,,Seneca,Ohio,FE:OE,Provision,
44418,Fowler,,Trumbull,Ohio,FE:OE,Provision,
43019,Fredericktown,,Knox,Ohio,FE:OE,Provision,
44833,Galion,,Crawford,Ohio,FE:OE,Provision,
