Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
43501,Alvordton,,Williams,Ohio,FE:TE,Provision,
43502,Archbold,,Fulton,Ohio,FE:TE,Provision,
43504,Berkey,,Lucas,Ohio,FE:TE,Provision,
43505,Blakeslee,,Williams,Ohio,FE:TE,Provision,
44817,Bloomdale,,Wood,Ohio,FE:TE,Provision,
43402,Bowling Green,,Wood,Ohio,FE:TE,Provision,
43406,Bradner,,Wood,Ohio,FE:TE,Provision,
43506,Bryan,,Williams,Ohio,FE:TE,Provision,
43407,Burgoon,,Sandusky,Ohio,FE:TE,Provision,
43408,Clay Center,,Ottawa,Ohio,FE:TE,Provision,
43410,Clyde,,Sandusky,Ohio,FE:TE,Provision,
43510,Colton,,Henry,Ohio,FE:TE,Provision,
45831,Continental,,Putnam,Ohio,FE:TE,Provision,
43412,Curtice,,Ottawa,Ohio,FE:TE,Provision,
43511,Custar,,Wood,Ohio,FE:TE,Provision,
43413,Cygnet,,Wood,Ohio,FE:TE,Provision,
43512,Defiance,,Defiance,Ohio,FE:TE,Provision,
43515,Delta,,Fulton,Ohio,FE:TE,Provision,
43516,Deshler,,Henry,Ohio,FE:TE,Provision,
43414,Dunbridge,,Wood,Ohio,FE:TE,Provision,
43517,Edgerton,,Williams,Ohio,FE:TE,Provision,
43518,Edon,,Williams,Ohio,FE:TE,Provision,
43416,Elmore,,Ottawa,Ohio,FE:TE,Provision,
43519,Evansport,,Defiance,Ohio,FE:TE,Provision,
43520,Farmer,,Defiance,Ohio,FE:TE,Provision,
43521,Fayette,,Fulton,Ohio,FE:TE,Provision,
43420,Fremont,,Sandusky,Ohio,FE:TE,Provision,
43430,Genoa,,Ottawa,Ohio,FE:TE,Provision,
43431,Gibsonburg,,Sandusky,Ohio,FE:TE,Provision,
43522,Grand Rapids,,Wood,Ohio,FE:TE,Provision,
43432,Graytown,,Ottawa,Ohio,FE:TE,Provision,
44836,Green Springs,,Seneca,Ohio,FE:TE,Provision,
43524,Hamler,,Henry,Ohio,FE:TE,Provision,
43434,Harbor View,,Lucas,Ohio,FE:TE,Provision,
43525,Haskins,,Wood,Ohio,FE:TE,Provision,
43435,Helena,,Sandusky,Ohio,FE:TE,Provision,
43526,Hicksville,,Defiance,Ohio,FE:TE,Provision,
43527,Holgate,,Henry,Ohio,FE:TE,Provision,
43528,Holland,,Lucas,Ohio,FE:TE,Provision,
43437,Jerry City,,Wood,Ohio,FE:TE,Provision,
43530,Jewell,,Defiance,Ohio,FE:TE,Provision,
44841,Kansas,,Seneca,Ohio,FE:TE,Provision,
43531,Kunkle,,Williams,Ohio,FE:TE,Provision,
43439,Lacarne,,Ottawa,Ohio,FE:TE,Provision,
45856,Leipsic,,Putnam,Ohio,FE:TE,Provision,
43441,Lemoyne,,Wood,Ohio,FE:TE,Provision,
43532,Liberty Center,,Henry,Ohio,FE:TE,Provision,
43442,Lindsey,,Sandusky,Ohio,FE:TE,Provision,
43443,Luckey,,Wood,Ohio,FE:TE,Provision,
43533,Lyons,,Fulton,Ohio,FE:TE,Provision,
43535,Malinta,,Henry,Ohio,FE:TE,Provision,
43536,Mark Center,,Defiance,Ohio,FE:TE,Provision,
