Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
49010,Allegan,City,Allegan,Michigan,MGU,Provision,
49323,Dorr,Place,Allegan,Michigan,MGU,Provision,
49406,Douglas,City,Allegan,Michigan,MGU,Provision,
49408,Fennville,City,Allegan,Michigan,MGU,Provision,
49419,Hamilton,Place,Allegan,Michigan,MGU,Provision,
49328,Hopkins,Village,Allegan,Michigan,MGU,Provision,
49070,Martin,Village,Allegan,Michigan,MGU,Provision,
49335,Moline,Place,Allegan,Michigan,MGU,Provision,
49078,Otsego,City,Allegan,Michigan,MGU,Provision,
49080,Plainwell,City,Allegan,Michigan,MGU,Provision,
49453,Saugatuck,City,Allegan,Michigan,MGU,Provision,
49344,Shelbyville,Place,Allegan,Michigan,MGU,Provision,
49348,Wayland,City,Allegan,Michigan,MGU,Provision,
49311,Bradley,Place,Allegan,Michigan,MGU,Provision,
49101,Baroda,Village,Berrien,Michigan,MGU,Provision,
49023,Benton Harbor,City,Berrien,Michigan,MGU,Provision,
49022,Benton Harbor,City,Berrien,Michigan,MGU,Provision,
49102,Berrien Center,Place,Berrien,Michigan,MGU,Provision,
49104,Berrien Springs,Village,Berrien,Michigan,MGU,Provision,
49103,Berrien Springs,Village,Berrien,Michigan,MGU,Provision,
49106,Bridgman,City,Berrien,Michigan,MGU,Provision,
49038,Coloma,City,Berrien,Michigan,MGU,Provision,
49111,Eau Claire,Village,Berrien,Michigan,MGU,Provision,
49126,Sodus,Place,Berrien,Michigan,MGU,Provision,
49085,St. Joseph,City,Berrien,Michigan,MGU,Provision,
49127,Stevensville,Village,Berrien,Michigan,MGU,Provision,
49098,Watervliet,City,Berrien,Michigan,MGU,Provision,
49028,Bronson,City,Branch,Michigan,MGU,Provision,
49036,Coldwater,City,Branch,Michigan,MGU,Provision,
49082,Quincy,Village,Branch,Michigan,MGU,Provision,
49094,Union City,Village,Branch,Michigan,MGU,Provision,
49092,Tekonsha,Village,Calhoun,Michigan,MGU,Provision,
49227,Allen,Village,Hillsdale,Michigan,MGU,Provision,
49232,Camden,Village,Hillsdale,Michigan,MGU,Provision,
49242,Hillsdale,City,Hillsdale,Michigan,MGU,Provision,
49250,Jonesville,City,Hillsdale,Michigan,MGU,Provision,
49262,North Adams,Village,Hillsdale,Michigan,MGU,Provision,
49266,Osseo,Place,Hillsdale,Michigan,MGU,Provision,
49271,Pittsford,Place,Hillsdale,Michigan,MGU,Provision,
49274,Reading,City,Hillsdale,Michigan,MGU,Provision,
49288,Waldron,Village,Hillsdale,Michigan,MGU,Provision,
49247,Hudson,City,Lenawee,Michigan,MGU,Provision,
49248,Jasper,Place,Lenawee,Michigan,MGU,Provision,
49256,Morenci,City,Lenawee,Michigan,MGU,Provision,
48117,Carleton,Village,Monroe,Michigan,MGU,Provision,
48131,Dundee,Village,Monroe,Michigan,MGU,Provision,
48133,Erie,Place,Monroe,Michigan,MGU,Provision,
48140,Ida,Place,Monroe,Michigan,MGU,Provision,
48144,Lambertville,Place,Monroe,Michigan,MGU,Provision,
48145,La Salle,Place,Monroe,Michigan,MGU,Provision,
48157,Luna Pier,City,Monroe,Michigan,MGU,Provision,
48159,Maybee,Village,Monroe,Michigan,MGU,Provision,
48162,Monroe,City,Monroe,Michigan,MGU,Provision,
48161,Monroe,City,Monroe,Michigan,MGU,Provision,
48166,Newport,Place,Monroe,Michigan,MGU,Provision,
49267,Ottawa Lake,Place,Monroe,Michigan,MGU,Provision,
49270,Petersburg,City,Monroe,Michigan,MGU,Provision,
48179,South Rockwood,Village,Monroe,Michigan,MGU,Provision,
48182,Temperance,Place,Monroe,Michigan,MGU,Provision,
49415,Fruitport,Village,Muskegon,Michigan,MGU,Provision,
49404,Coopersville,City,Ottawa,Michigan,MGU,Provision,
49409,Ferrysburg,City,Ottawa,Michigan,MGU,Provision,
49417,Grand Haven,City,Ottawa,Michigan,MGU,Provision,
49448,Nunica,Place,Ottawa,Michigan,MGU,Provision,
49404,Polkton,Township,Ottawa,Michigan,MGU,Provision,
49456,Spring Lake,Village,Ottawa,Michigan,MGU,Provision,
49460,West Olive,Place,Ottawa,Michigan,MGU,Provision,
49030,Burr Oak,Village,St. Joseph,Michigan,MGU,Provision,
49040,Colon,Village,St. Joseph,Michigan,MGU,Provision,
49075,Nottawa,Place,St. Joseph,Michigan,MGU,Provision,
49091,Sturgis,City,St. Joseph,Michigan,MGU,Provision,
49099,White Pigeon,Village,St. Joseph,Michigan,MGU,Provision,
49062,Kendall,Place,Van Buren,Michigan,MGU,Provision,
49026,Bloomingdale,Village,Van Buren,Michigan,MGU,Provision,
49043,Covert,Place,Van Buren,Michigan,MGU,Provision,
49255,Montgomery,Village,Hillsdale,Michigan,MGU,Provision,
49289,Weston,Place,Lenawee,Michigan,MGU,Provision,
49055,Gobles,City,Van Buren,Michigan,MGU,Provision,
49090,South Haven,City,Van Buren,Michigan,MGU,Provision,
