Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
16401,Albion,,Erie,Pennsylvania,NFG,Provision,
16475,Albion,,Erie,Pennsylvania,NFG,Provision,
16402,Bear Lake,,Warren,Pennsylvania,NFG,Provision,
16701,Bradford,,McKean,Pennsylvania,NFG,Provision,
15822,Brandy Camp,,Elk,Pennsylvania,NFG,Provision,
15823,Brockport,,Elk,Pennsylvania,NFG,Provision,
15824,Brockway,,Jefferson,Pennsylvania,NFG,Provision,
15825,Brookville,,Jefferson,Pennsylvania,NFG,Provision,
16022,Bruin,,Butler,Pennsylvania,NFG,Provision,
16002,Butler,,Butler,Pennsylvania,NFG,Provision,
16001,Butler,,Butler,Pennsylvania,NFG,Provision,
15827,Byrnedale,,Elk,Pennsylvania,NFG,Provision,
16403,Cambridge Springs,,Crawford,Pennsylvania,NFG,Provision,
16311,Carlton,,Mercer,Pennsylvania,NFG,Provision,
16404,Centerville,,Crawford,Pennsylvania,NFG,Provision,
16025,Chicora,,Butler,Pennsylvania,NFG,Provision,
16313,Clarendon,,Warren,Pennsylvania,NFG,Provision,
15828,Clarington,,Forest,Pennsylvania,NFG,Provision,
16214,Clarion,,Clarion,Pennsylvania,NFG,Provision,
16113,Clark,,Mercer,Pennsylvania,NFG,Provision,
16114,Clarks Mills,,Mercer,Pennsylvania,NFG,Provision,
16372,Clintonville,,Venango,Pennsylvania,NFG,Provision,
16314,Cochranton,,Crawford,Pennsylvania,NFG,Provision,
16405,Columbus,,Warren,Pennsylvania,NFG,Provision,
16316,Conneaut Lake,,Crawford,Pennsylvania,NFG,Provision,
16406,Conneautville,,Crawford,Pennsylvania,NFG,Provision,
16317,Cooperstown,,Venango,Pennsylvania,NFG,Provision,
16407,Corry,,Erie,Pennsylvania,NFG,Provision,
15829,Corsica,,Jefferson,Pennsylvania,NFG,Provision,
16218,Cowansville,,Armstrong,Pennsylvania,NFG,Provision,
16319,Cranberry,,Venango,Pennsylvania,NFG,Provision,
16410,Cranesville,,Erie,Pennsylvania,NFG,Provision,
16726,Cyclone,,McKean,Pennsylvania,NFG,Provision,
15831,Dagus Mines,,Elk,Pennsylvania,NFG,Provision,
15801,DuBois,,Clearfield,Pennsylvania,NFG,Provision,
16729,Duke Center,,McKean,Pennsylvania,NFG,Provision,
16028,East Brady,,Clarion,Pennsylvania,NFG,Provision,
