Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
19001,Abington,,Montgomery,Pennsylvania,PECO,Provision,
19002,Ambler,,Montgomery,Pennsylvania,PECO,Provision,
19003,Ardmore,,Montgomery,Pennsylvania,PECO,Provision,
19014,Aston,,Delaware,Pennsylvania,PECO,Provision,
19310,Atglen,,Chester,Pennsylvania,PECO,Provision,
19407,Audubon,,Montgomery,Pennsylvania,PECO,Provision,
19311,Avondale,,Chester,Pennsylvania,PECO,Provision,
19004,Bala Cynwyd,,Montgomery,Pennsylvania,PECO,Provision,
18910,Bedminster,,Bucks,Pennsylvania,PECO,Provision,
19020,Bensalem,,Bucks,Pennsylvania,PECO,Provision,
19312,Berwyn,,Chester,Pennsylvania,PECO,Provision,
19421,Birchrunville,,Chester,Pennsylvania,PECO,Provision,
19422,Blue Bell,,Montgomery,Pennsylvania,PECO,Provision,
19316,Brandamore,,Chester,Pennsylvania,PECO,Provision,
19405,Bridgeport,,Montgomery,Pennsylvania,PECO,Provision,
19007,Bristol,,Bucks,Pennsylvania,PECO,Provision,
19015,Brookhaven,,Delaware,Pennsylvania,PECO,Provision,
19008,Broomall,,Delaware,Pennsylvania,PECO,Provision,
19009,Bryn Athyn,,Montgomery,Pennsylvania,PECO,Provision,
19010,Bryn Mawr,,Delaware,Pennsylvania,PECO,Provision,
18912,Buckingham,,Bucks,Pennsylvania,PECO,Provision,
18913,Carversville,,Bucks,Pennsylvania,PECO,Provision,
19423,Cedars,,Montgomery,Pennsylvania,PECO,Provision,
19317,Chadds Ford,,Delaware,Pennsylvania,PECO,Provision,
18914,Chalfont,,Bucks,Pennsylvania,PECO,Provision,
19318,Chatham,,Chester,Pennsylvania,PECO,Provision,
19012,Cheltenham,,Montgomery,Pennsylvania,PECO,Provision,
19013,Chester,,Delaware,Pennsylvania,PECO,Provision,
19016,Chester,,Delaware,Pennsylvania,PECO,Provision,
19017,Chester Heights,,Delaware,Pennsylvania,PECO,Provision,
19425,Chester Springs,,Chester,Pennsylvania,PECO,Provision,
19319,Cheyney,,Delaware,Pennsylvania,PECO,Provision,
17509,Christiana,,Lancaster,Pennsylvania,PECO,Provision,
19018,Clifton Heights,,Delaware,Pennsylvania,PECO,Provision,
19320,Coatesville,,Chester,Pennsylvania,PECO,Provision,
19330,Cochranville,,Chester,Pennsylvania,PECO,Provision,
19426,Collegeville,,Montgomery,Pennsylvania,PECO,Provision,
18915,Colmar,,Montgomery,Pennsylvania,PECO,Provision,
19331,Concordville,,Delaware,Pennsylvania,PECO,Provision,
19428,Conshohocken,,Montgomery,Pennsylvania,PECO,Provision,
19430,Creamery,,Montgomery,Pennsylvania,PECO,Provision,
19021,Croydon,,Bucks,Pennsylvania,PECO,Provision,
19022,Crum Lynne,,Delaware,Pennsylvania,PECO,Provision,
18916,Danboro,,Bucks,Pennsylvania,PECO,Provision,
19023,Darby,,Delaware,Pennsylvania,PECO,Provision,
19432,Devault,,Chester,Pennsylvania,PECO,Provision,
19333,Devon,,Chester,Pennsylvania,PECO,Provision,
19335,Downingtown,,Chester,Pennsylvania,PECO,Provision,
18901,Doylestown,,Bucks,Pennsylvania,PECO,Provision,
18902,Doylestown,,Bucks,Pennsylvania,PECO,Provision,
19025,Dresher,,Montgomery,Pennsylvania,PECO,Provision,
19026,Drexel Hill,,Delaware,Pennsylvania,PECO,Provision,
18917,Dublin,,Bucks,Pennsylvania,PECO,Provision,
19408,Eagleville,,Montgomery,Pennsylvania,PECO,Provision,
18041,East Greenville,,Montgomery,Pennsylvania,PECO,Provision,
19028,Edgemont,,Delaware,Pennsylvania,PECO,Provision,
19027,Elkins Park,,Montgomery,Pennsylvania,PECO,Provision,
19520,Elverson,,Chester,Pennsylvania,PECO,Provision,
18920,Erwinna,,Bucks,Pennsylvania,PECO,Provision,
19029,Essington,,Delaware,Pennsylvania,PECO,Provision,
19341,Exton,,Chester,Pennsylvania,PECO,Provision,
19030,Fairless Hills,,Bucks,Pennsylvania,PECO,Provision,
19409,Fairview Village,,Montgomery,Pennsylvania,PECO,Provision,
19053,Feasterville Trevose,,Bucks,Pennsylvania,PECO,Provision,
18921,Ferndale,,Bucks,Pennsylvania,PECO,Provision,
19031,Flourtown,,Montgomery,Pennsylvania,PECO,Provision,
19032,Folcroft,,Delaware,Pennsylvania,PECO,Provision,
19033,Folsom,,Delaware,Pennsylvania,PECO,Provision,
18922,Forest Grove,,Bucks,Pennsylvania,PECO,Provision,
19049,Fort Washington,,Bucks,Pennsylvania,PECO,Provision,
19034,Fort Washington,,Montgomery,Pennsylvania,PECO,Provision,
18923,Fountainville,,Bucks,Pennsylvania,PECO,Provision,
18925,Furlong,,Bucks,Pennsylvania,PECO,Provision,
17527,Gap,,Lancaster,Pennsylvania,PECO,Provision,
19060,Garnet Valley,,Delaware,Pennsylvania,PECO,Provision,
19035,Gladwyne,,Montgomery,Pennsylvania,PECO,Provision,
19342,Glen Mills,,Delaware,Pennsylvania,PECO,Provision,
19037,Glen Riddle Lima,,Delaware,Pennsylvania,PECO,Provision,
19343,Glenmoore,,Chester,Pennsylvania,PECO,Provision,
19036,Glenolden,,Delaware,Pennsylvania,PECO,Provision,
19038,Glenside,,Montgomery,Pennsylvania,PECO,Provision,
19039,Gradyville,,Delaware,Pennsylvania,PECO,Provision,
18054,Green Lane,,Montgomery,Pennsylvania,PECO,Provision,
19436,Gwynedd,,Montgomery,Pennsylvania,PECO,Provision,
19437,Gwynedd Valley,,Montgomery,Pennsylvania,PECO,Provision,
19438,Harleysville,,Montgomery,Pennsylvania,PECO,Provision,
19040,Hatboro,,Montgomery,Pennsylvania,PECO,Provision,
19440,Hatfield,,Montgomery,Pennsylvania,PECO,Provision,
19041,Haverford,,Montgomery,Pennsylvania,PECO,Provision,
19083,Havertown,,Delaware,Pennsylvania,PECO,Provision,
18927,Hilltown,,Bucks,Pennsylvania,PECO,Provision,
18928,Holicong,,Bucks,Pennsylvania,PECO,Provision,
19043,Holmes,,Delaware,Pennsylvania,PECO,Provision,
19344,Honey Brook,,Chester,Pennsylvania,PECO,Provision,
19044,Horsham,,Montgomery,Pennsylvania,PECO,Provision,
19006,Huntingdon Valley,,Montgomery,Pennsylvania,PECO,Provision,
19345,Immaculata,,Chester,Pennsylvania,PECO,Provision,
18929,Jamison,,Bucks,Pennsylvania,PECO,Provision,
19046,Jenkintown,,Montgomery,Pennsylvania,PECO,Provision,
19346,Kelton,,Chester,Pennsylvania,PECO,Provision,
19347,Kemblesville,,Chester,Pennsylvania,PECO,Provision,
19348,Kennett Square,,Chester,Pennsylvania,PECO,Provision,
19442,Kimberton,,Chester,Pennsylvania,PECO,Provision,
19406,King Of Prussia,,Montgomery,Pennsylvania,PECO,Provision,
19443,Kulpsville,,Montgomery,Pennsylvania,PECO,Provision,
19444,Lafayette Hill,,Montgomery,Pennsylvania,PECO,Provision,
18931,Lahaska,,Bucks,Pennsylvania,PECO,Provision,
19350,Landenberg,,Chester,Pennsylvania,PECO,Provision,
19047,Langhorne,,Bucks,Pennsylvania,PECO,Provision,
19446,Lansdale,,Montgomery,Pennsylvania,PECO,Provision,
19050,Lansdowne,,Delaware,Pennsylvania,PECO,Provision,
19450,Lederach,,Montgomery,Pennsylvania,PECO,Provision,
19052,Lenni,,Delaware,Pennsylvania,PECO,Provision,
19054,Levittown,,Bucks,Pennsylvania,PECO,Provision,
19055,Levittown,,Bucks,Pennsylvania,PECO,Provision,
19056,Levittown,,Bucks,Pennsylvania,PECO,Provision,
19057,Levittown,,Bucks,Pennsylvania,PECO,Provision,
19058,Levittown,,Bucks,Pennsylvania,PECO,Provision,
19351,Lewisville,,Chester,Pennsylvania,PECO,Provision,
19352,Lincoln University,,Chester,Pennsylvania,PECO,Provision,
18932,Line Lexington,,Bucks,Pennsylvania,PECO,Provision,
19353,Lionville,,Chester,Pennsylvania,PECO,Provision,
18933,Lumberville,,Bucks,Pennsylvania,PECO,Provision,
19354,Lyndell,,Chester,Pennsylvania,PECO,Provision,
19451,Mainland,,Montgomery,Pennsylvania,PECO,Provision,
19355,Malvern,,Chester,Pennsylvania,PECO,Provision,
19061,Marcus Hook,,Delaware,Pennsylvania,PECO,Provision,
