Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
19019,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19092,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19093,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19099,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19101,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19102,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19103,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19104,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19105,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19106,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19107,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19108,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19109,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19110,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19111,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19112,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19114,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19115,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19116,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19118,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19119,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19120,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19121,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19122,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19123,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19124,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19125,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19126,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19127,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19128,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19129,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19130,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19131,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19132,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19133,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19134,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19135,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19136,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19137,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19138,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19139,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19140,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19141,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19142,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19143,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19144,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19145,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19146,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19147,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19148,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19149,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19150,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19151,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19152,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19153,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19154,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19155,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19160,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19161,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19162,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19170,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19171,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19172,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19173,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19175,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19176,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19177,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19178,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19179,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19181,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19182,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19183,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19184,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19185,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19187,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19188,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19190,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19191,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19192,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19193,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19194,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19195,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19196,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19197,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19244,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
19255,Philadelphia,,Philadelphia,Pennsylvania,PGW,Provision,
