Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
16210,Adrian,,Armstrong,Pennsylvania,PTWP,Provision,PTWP
15710,Alverda,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15711,Anita,,Jefferson,Pennsylvania,PTWP,Provision,PTWP
15613,Apollo,,Westmoreland,Pennsylvania,PTWP,Provision,PTWP
15920,Armagh,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15713,Aultman,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15618,Avonmore,,Westmoreland,Pennsylvania,PTWP,Provision,PTWP
16211,Beyer,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15715,Big Run,,Jefferson,Pennsylvania,PTWP,Provision,PTWP
15717,Blairsville,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15014,Brackenridge,,Allegheny,Pennsylvania,PTWP,Provision,PTWP
15825,Brookville,,Jefferson,Pennsylvania,PTWP,Provision,PTWP
16022,Bruin,,Butler,Pennsylvania,PTWP,Provision,PTWP
15720,Brush Valley,,Indiana,Pennsylvania,PTWP,Provision,PTWP
16001,Butler,,Butler,Pennsylvania,PTWP,Provision,PTWP
16002,Butler,,Butler,Pennsylvania,PTWP,Provision,PTWP
16003,Butler,,Butler,Pennsylvania,PTWP,Provision,PTWP
16023,Cabot,,Butler,Pennsylvania,PTWP,Provision,PTWP
16024,Callery,,Butler,Pennsylvania,PTWP,Provision,PTWP
15723,Chambersville,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15724,Cherry Tree,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15024,Cheswick,,Allegheny,Pennsylvania,PTWP,Provision,PTWP
16025,Chicora,,Butler,Pennsylvania,PTWP,Provision,PTWP
16214,Clarion,,Clarion,Pennsylvania,PTWP,Provision,PTWP
15725,Clarksburg,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15727,Clune,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15728,Clymer,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15927,Colver,,Cambria,Pennsylvania,PTWP,Provision,PTWP
15729,Commodore,,Indiana,Pennsylvania,PTWP,Provision,PTWP
16027,Connoquenessing,,Butler,Pennsylvania,PTWP,Provision,PTWP
15730,Coolspring,,Jefferson,Pennsylvania,PTWP,Provision,PTWP
15829,Corsica,,Jefferson,Pennsylvania,PTWP,Provision,PTWP
16218,Cowansville,,Armstrong,Pennsylvania,PTWP,Provision,PTWP
16066,Cranberry Township,,Butler,Pennsylvania,PTWP,Provision,PTWP
15732,Creekside,,Indiana,Pennsylvania,PTWP,Provision,PTWP
15030,Creighton,,Allegheny,Pennsylvania,PTWP,Provision,PTWP
