Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
48001,Algonac,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48002,Allenton,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48003,Almont,Village,Lapeer,Michigan,SEMCO,Provision,MPSC
48004,Anchorville,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48005,Armada,Village,Macomb,Michigan,SEMCO,Provision,MPSC
48006,Avoca,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48022,Emmett,Village,St. Clair,Michigan,SEMCO,Provision,MPSC
48023,Fair Haven,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48027,Goodells,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48028,Harsens Island,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48032,Jeddo,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48039,Marine City,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48040,Marysville,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48041,Memphis,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48042,Macomb,Place,Macomb,Michigan,SEMCO,Provision,MPSC
48044,Macomb,Place,Macomb,Michigan,SEMCO,Provision,MPSC
48047,New Baltimore,City,Macomb,Michigan,SEMCO,Provision,MPSC
48048,New Haven,Village,Macomb,Michigan,SEMCO,Provision,MPSC
48049,North Street,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48050,New Haven,Village,Macomb,Michigan,SEMCO,Provision,MPSC
48051,New Baltimore,City,Macomb,Michigan,SEMCO,Provision,MPSC
48054,East China,Township,St. Clair,Michigan,SEMCO,Provision,MPSC
48059,Lakeport,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48060,Port Huron,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48061,Port Huron,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48062,Richmond,City,Macomb,Michigan,SEMCO,Provision,MPSC
48063,Columbus,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48064,Casco,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48065,Romeo,Village,Macomb,Michigan,SEMCO,Provision,MPSC
48074,Smiths Creek,Place,St. Clair,Michigan,SEMCO,Provision,MPSC
48079,St. Clair,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48094,Washington,Place,Macomb,Michigan,SEMCO,Provision,MPSC
48095,Washington,Place,Macomb,Michigan,SEMCO,Provision,MPSC
48096,Ray,Township,Macomb,Michigan,SEMCO,Provision,MPSC
48097,Yale,City,St. Clair,Michigan,SEMCO,Provision,MPSC
48315,Shelby,Township,Macomb,Michigan,SEMCO,Provision,MPSC
48316,Shelby,Township,Macomb,Michigan,SEMCO,Provision,MPSC
48317,Shelby,Township,Macomb,Michigan,SEMCO,Provision,MPSC
48366,Lakeville,Place,Oakland,Michigan,SEMCO,Provision,MPSC
48367,Leonard,Village,Oakland,Michigan,SEMCO,Provision,MPSC
48401,Applegate,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48412,Attica,Place,Lapeer,Michigan,SEMCO,Provision,MPSC
48416,Brown City,City,Sanilac,Michigan,SEMCO,Provision,MPSC
48419,Carsonville,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48422,Croswell,City,Sanilac,Michigan,SEMCO,Provision,MPSC
48426,Decker,Place,Sanilac,Michigan,SEMCO,Provision,MPSC
48427,Deckerville,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48444,Imlay City,City,Lapeer,Michigan,SEMCO,Provision,MPSC
48450,Lexington,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48453,Marlette,City,Sanilac,Michigan,SEMCO,Provision,MPSC
48454,Melvin,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48461,North Branch,Village,Lapeer,Michigan,SEMCO,Provision,MPSC
48466,Peck,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48469,Port Sanilac,Village,Sanilac,Michigan,SEMCO,Provision,MPSC
48471,Sandusky,City,Sanilac,Michigan,SEMCO,Provision,MPSC
48701,Akron,Village,Tuscola,Michigan,SEMCO,Provision,MPSC
48726,Cass City,Village,Tuscola,Michigan,SEMCO,Provision,MPSC
48727,Clifford,Village,Lapeer,Michigan,SEMCO,Provision,MPSC
48729,Deford,Place,Tuscola,Michigan,SEMCO,Provision,MPSC
48735,Gagetown,Village,Tuscola,Michigan,SEMCO,Provision,MPSC
48741,Kingston,Village,Tuscola,Michigan,SEMCO,Provision,MPSC
48760,Silverwood,Place,Lapeer,Michigan,SEMCO,Provision,MPSC
48767,Unionville,Village,Tuscola,Michigan,SEMCO,Provision,MPSC
49011,Athens,Village,Calhoun,Michigan,SEMCO,Provision,BC
49014,Battle Creek,City,Calhoun,Michigan,SEMCO,Provision,BC
49014,Brownlee Park,Place,Calhoun,Michigan,SEMCO,Provision,BC
49015,Battle Creek,City,Calhoun,Michigan,SEMCO,Provision,BC
49016,Battle Creek,City,Calhoun,Michigan,SEMCO,Provision,BC
49017,Battle Creek,City,Calhoun,Michigan,SEMCO,Provision,BC
49018,Battle Creek,City,Calhoun,Michigan,SEMCO,Provision,BC
49020,Bedford,Place,Calhoun,Michigan,SEMCO,Provision,BC
49021,Bellevue,Village,Eaton,Michigan,SEMCO,Provision,BC
49031,Cassopolis,Village,Cass,Michigan,SEMCO,Provision,MPSC
49032,Centreville,Village,St. Joseph,Michigan,SEMCO,Provision,MPSC
49033,Ceresco,Place,Calhoun,Michigan,SEMCO,Provision,BC
49037,Battle Creek,City,Calhoun,Michigan,SEMCO,Provision,BC
49042,Constantine,Village,St. Joseph,Michigan,SEMCO,Provision,MPSC
49047,Dowagiac,City,Cass,Michigan,SEMCO,Provision,MPSC
49050,Dowling,Place,Barry,Michigan,SEMCO,Provision,BC
49051,East Leroy,Place,Calhoun,Michigan,SEMCO,Provision,BC
49061,Jones,Place,Cass,Michigan,SEMCO,Provision,MPSC
49075,Nottawa,Place,St. Joseph,Michigan,SEMCO,Provision,MPSC
49093,Parkville,Place,St. Joseph,Michigan,SEMCO,Provision,MPSC
49093,Three Rivers,City,St. Joseph,Michigan,SEMCO,Provision,MPSC
49095,Vandalia,Village,Cass,Michigan,SEMCO,Provision,MPSC
49099,White Pigeon,Village,St. Joseph,Michigan,SEMCO,Provision,MPSC
49107,Buchanan,City,Berrien,Michigan,SEMCO,Provision,MPSC
49112,Edwardsburg,Village,Cass,Michigan,SEMCO,Provision,MPSC
49113,Galien,Village,Berrien,Michigan,SEMCO,Provision,MPSC
49116,Lakeside,Place,Berrien,Michigan,SEMCO,Provision,MPSC
49117,New Buffalo,City,Berrien,Michigan,SEMCO,Provision,MPSC
49119,New Troy,Place,Berrien,Michigan,SEMCO,Provision,MPSC
49120,Niles,City,Berrien,Michigan,SEMCO,Provision,MPSC
49125,Sawyer,Place,Berrien,Michigan,SEMCO,Provision,MPSC
49128,Three Oaks,Village,Berrien,Michigan,SEMCO,Provision,MPSC
49129,Union Pier,Place,Berrien,Michigan,SEMCO,Provision,MPSC
49130,Union,Place,Cass,Michigan,SEMCO,Provision,MPSC
49224,Albion,City,Calhoun,Michigan,SEMCO,Provision,MPSC
49237,Concord,Village,Jackson,Michigan,SEMCO,Provision,MPSC
49245,Homer,Village,Calhoun,Michigan,SEMCO,Provision,MPSC
49252,Litchfield,City,Hillsdale,Michigan,SEMCO,Provision,MPSC
49269,Parma,Village,Jackson,Michigan,SEMCO,Provision,MPSC
49283,Spring Arbor,Place,Jackson,Michigan,SEMCO,Provision,MPSC
49284,Springport,Village,Jackson,Michigan,SEMCO,Provision,MPSC
49401,Allendale,Place,Ottawa,Michigan,SEMCO,Provision,MPSC
49422,Holland,City,Ottawa,Michigan,SEMCO,Provision,MPSC
49423,Holland,City,Ottawa,Michigan,SEMCO,Provision,MPSC
49424,Holland,City,Ottawa,Michigan,SEMCO,Provision,MPSC
49427,Jamestown,Place,Ottawa,Michigan,SEMCO,Provision,MPSC
49428,Jenison,Place,Ottawa,Michigan,SEMCO,Provision,MPSC
49429,Jenison,Place,Ottawa,Michigan,SEMCO,Provision,MPSC
49434,Macatawa,Place,Ottawa,Michigan,SEMCO,Provision,MPSC
49460,West Olive,Place,Ottawa,Michigan,SEMCO,Provision,MPSC
49464,Zeeland,City,Ottawa,Michigan,SEMCO,Provision,MPSC
49760,Moran,Place,Mackinac,Michigan,SEMCO,Provision,MPSC
49762,Naubinway,Place,Mackinac,Michigan,SEMCO,Provision,MPSC
49781,St. Ignace,City,Mackinac,Michigan,SEMCO,Provision,MPSC
49827,Engadine,Place,Mackinac,Michigan,SEMCO,Provision,MPSC
49841,Gwinn,Place,Marquette,Michigan,SEMCO,Provision,MPSC
49849,Ishpeming,City,Marquette,Michigan,SEMCO,Provision,MPSC
49854,Manistique,City,Schoolcraft,Michigan,SEMCO,Provision,MPSC
49855,Marquette,City,Marquette,Michigan,SEMCO,Provision,MPSC
49865,National Mine,Place,Marquette,Michigan,SEMCO,Provision,MPSC
49866,Negaunee,City,Marquette,Michigan,SEMCO,Provision,MPSC
49868,Newberry,Village,Luce,Michigan,SEMCO,Provision,MPSC
49871,Palmer,Place,Marquette,Michigan,SEMCO,Provision,MPSC
49879,Republic,Place,Marquette,Michigan,SEMCO,Provision,MPSC
49908,Baraga,Village,Baraga,Michigan,SEMCO,Provision,MPSC
49912,Bruce Crossing,Place,Ontonagon,Michigan,SEMCO,Provision,MPSC
49913,Calumet,Village,Houghton,Michigan,SEMCO,Provision,MPSC
49916,Chassell,Place,Houghton,Michigan,SEMCO,Provision,MPSC
49917,Copper City,Village,Houghton,Michigan,SEMCO,Provision,MPSC
49922,Dollar Bay,Place,Houghton,Michigan,SEMCO,Provision,MPSC
49930,Hancock,City,Houghton,Michigan,SEMCO,Provision,MPSC
49931,Houghton,City,Houghton,Michigan,SEMCO,Provision,MPSC
49934,Hubbell,Place,Houghton,Michigan,SEMCO,Provision,MPSC
49942,Kearsarge,Place,Houghton,Michigan,SEMCO,Provision,MPSC
49945,Lake Linden,Village,Houghton,Michigan,SEMCO,Provision,MPSC
49946,L'Anse,Village,Baraga,Michigan,SEMCO,Provision,MPSC
49947,Marenisco,Place,Gogebic,Michigan,SEMCO,Provision,MPSC
49953,Ontonagon,Village,Ontonagon,Michigan,SEMCO,Provision,MPSC
49960,Rockland,Place,Ontonagon,Michigan,SEMCO,Provision,MPSC
49963,South Range,Village,Houghton,Michigan,SEMCO,Provision,MPSC
49969,Watersmeet,Place,Gogebic,Michigan,SEMCO,Provision,MPSC
49971,White Pine,Place,Ontonagon,Michigan,SEMCO,Provision,MPSC
