Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
17582,Washington Boro,,Lancaster,Pennsylvania,UGI,Provision,
17777,Watsontown,,Northumberland,Pennsylvania,UGI,Provision,
18471,Waverly,,Lackawanna,Pennsylvania,UGI,Provision,
17268,Waynesboro,,Franklin,Pennsylvania,UGI,Provision,
16901,Wellsboro,,Tioga,Pennsylvania,UGI,Provision,
19565,Wernersville,,Berks,Pennsylvania,UGI,Provision,
16878,West Decatur,,Clearfield,Pennsylvania,UGI,Provision,
17886,West Milton,,Union,Pennsylvania,UGI,Provision,
16950,Westfield,,Tioga,Pennsylvania,UGI,Provision,
17887,White Deer,,Union,Pennsylvania,UGI,Provision,
18661,White Haven,,Luzerne,Pennsylvania,UGI,Provision,
18473,White Mills,,Wayne,Pennsylvania,UGI,Provision,
18052,Whitehall,,Lehigh,Pennsylvania,UGI,Provision,
17888,Wilburton,,Columbia,Pennsylvania,UGI,Provision,
18701,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18702,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18703,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18705,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18706,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18710,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18711,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18762,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18764,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18765,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18766,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18767,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18769,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
18773,Wilkes-Barre,,Luzerne,Pennsylvania,UGI,Provision,
17701,Williamsport,,Lycoming,Pennsylvania,UGI,Provision,
17702,Williamsport,,Lycoming,Pennsylvania,UGI,Provision,
17703,Williamsport,,Lycoming,Pennsylvania,UGI,Provision,
17705,Williamsport,,Lycoming,Pennsylvania,UGI,Provision,
18091,Wind Gap,,Northampton,Pennsylvania,UGI,Provision,
19567,Womelsdorf,,Berks,Pennsylvania,UGI,Provision,
16881,Woodland,,Clearfield,Pennsylvania,UGI,Provision,
18644,Wyoming,,Luzerne,Pennsylvania,UGI,Provision,
17099,Yeagertown,,Mifflin,Pennsylvania,UGI,Provision,
18092,Zionsville,,Lehigh,Pennsylvania,UGI,Provision,
