Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
19501,Adamstown,,Lancaster,Pennsylvania,UGI,Provision,
17501,Akron,,Lancaster,Pennsylvania,UGI,Provision,
16910,Alba,,Bradford,Pennsylvania,UGI,Provision,
18011,Alburtis,,Lehigh,Pennsylvania,UGI,Provision,
17002,Allensville,,Mifflin,Pennsylvania,UGI,Provision,
18101,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18102,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18103,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18104,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18105,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18106,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18109,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
18195,Allentown,,Lehigh,Pennsylvania,UGI,Provision,
17810,Allenwood,,Lycoming,Pennsylvania,UGI,Provision,
16821,Allport,,Clearfield,Pennsylvania,UGI,Provision,
17003,Annville,,Lebanon,Pennsylvania,UGI,Provision,
18403,Archbald,,Lackawanna,Pennsylvania,UGI,Provision,
17920,Aristes,,Columbia,Pennsylvania,UGI,Provision,
17921,Ashland,,Schuylkill,Pennsylvania,UGI,Provision,
17922,Auburn,,Schuylkill,Pennsylvania,UGI,Provision,
16720,Austin,,Potter,Pennsylvania,UGI,Provision,
17721,Avis,,Clinton,Pennsylvania,UGI,Provision,
17502,Bainbridge,,Lancaster,Pennsylvania,UGI,Provision,
19503,Bally,,Berks,Pennsylvania,UGI,Provision,
18013,Bangor,,Northampton,Pennsylvania,UGI,Provision,
19504,Barto,,Berks,Pennsylvania,UGI,Provision,
18321,Bartonsville,,Monroe,Pennsylvania,UGI,Provision,
18014,Bath,,Northampton,Pennsylvania,UGI,Provision,
18602,Bear Creek,,Luzerne,Pennsylvania,UGI,Provision,
19505,Bechtelsville,,Berks,Pennsylvania,UGI,Provision,
15522,Bedford,,Bedford,Pennsylvania,UGI,Provision,
16822,Beech Creek,,Clinton,Pennsylvania,UGI,Provision,
17004,Belleville,,Mifflin,Pennsylvania,UGI,Provision,
18603,Berwick,,Columbia,Pennsylvania,UGI,Provision,
18015,Bethlehem,,Northampton,Pennsylvania,UGI,Provision,
18016,Bethlehem,,Northampton,Pennsylvania,UGI,Provision,
18017,Bethlehem,,Northampton,Pennsylvania,UGI,Provision,
