Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
45301,Alpha,,Greene,Ohio,VEDO,Provision,
45302,Anna,,Shelby,Ohio,VEDO,Provision,
45303,Ansonia,,Darke,Ohio,VEDO,Provision,
45304,Arcanum,,Darke,Ohio,VEDO,Provision,
45305,Bellbrook,,Greene,Ohio,VEDO,Provision,
43310,Belle Center,,Logan,Ohio,VEDO,Provision,
43311,Bellefontaine,,Logan,Ohio,VEDO,Provision,
43106,Bloomingburg,,Fayette,Ohio,VEDO,Provision,
45306,Botkins,,Shelby,Ohio,VEDO,Provision,
45307,Bowersville,,Greene,Ohio,VEDO,Provision,
45308,Bradford,,Miami,Ohio,VEDO,Provision,
45309,Brookville,,Montgomery,Ohio,VEDO,Provision,
45310,Burkettsville,,Mercer,Ohio,VEDO,Provision,
45311,Camden,,Preble,Ohio,VEDO,Provision,
45312,Casstown,,Miami,Ohio,VEDO,Provision,
45314,Cedarville,,Greene,Ohio,VEDO,Provision,
45389,Christiansburg,,Champaign,Ohio,VEDO,Provision,
45315,Clayton,,Montgomery,Ohio,VEDO,Provision,
45316,Clifton,,Greene,Ohio,VEDO,Provision,
45318,Covington,,Miami,Ohio,VEDO,Provision,
45401,Dayton,,Montgomery,Ohio,VEDO,Provision,
45402,Dayton,,Montgomery,Ohio,VEDO,Provision,
45403,Dayton,,Montgomery,Ohio,VEDO,Provision,
45404,Dayton,,Montgomery,Ohio,VEDO,Provision,
45405,Dayton,,Montgomery,Ohio,VEDO,Provision,
45406,Dayton,,Montgomery,Ohio,VEDO,Provision,
45409,Dayton,,Montgomery,Ohio,VEDO,Provision,
45410,Dayton,,Montgomery,Ohio,VEDO,Provision,
45413,Dayton,,Montgomery,Ohio,VEDO,Provision,
45414,Dayton,,Montgomery,Ohio,VEDO,Provision,
45415,Dayton,,Montgomery,Ohio,VEDO,Provision,
45416,Dayton,,Montgomery,Ohio,VEDO,Provision,
45417,Dayton,,Montgomery,Ohio,VEDO,Provision,
45419,Dayton,,Montgomery,Ohio,VEDO,Provision,
45420,Dayton,,Montgomery,Ohio,VEDO,Provision,
45422,Dayton,,Montgomery,Ohio,VEDO,Provision,
45424,Dayton,,Montgomery,Ohio,VEDO,Provision,
45426,Dayton,,Montgomery,Ohio,VEDO,Provision,
45428,Dayton,,Montgomery,Ohio,VEDO,Provision,
45429,Dayton,,Montgomery,Ohio,VEDO,Provision,
45430,Dayton,,Montgomery,Ohio,VEDO,Provision,
45431,Dayton,,Greene,Ohio,VEDO,Provision,
45432,Dayton,,Greene,Ohio,VEDO,Provision,
45433,Dayton,,Greene,Ohio,VEDO,Provision,
45434,Dayton,,Greene,Ohio,VEDO,Provision,
45439,Dayton,,Montgomery,Ohio,VEDO,Provision,
45440,Dayton,,Montgomery,Ohio,VEDO,Provision,
45441,Dayton,,Montgomery,Ohio,VEDO,Provision,
45449,Dayton,,Montgomery,Ohio,VEDO,Provision,
45458,Dayton,,Montgomery,Ohio,VEDO,Provision,
45459,Dayton,,Montgomery,Ohio,VEDO,Provision,
45470,Dayton,,Montgomery,Ohio,VEDO,Provision,
45490,Dayton,,Montgomery,Ohio,VEDO,Provision,
43318,De Graff,,Logan,Ohio,VEDO,Provision,
45320,Eaton,,Preble,Ohio,VEDO,Provision,
45321,Eldorado,,Preble,Ohio,VEDO,Provision,
45322,Englewood,,Montgomery,Ohio,VEDO,Provision,
45324,Fairborn,,Greene,Ohio,VEDO,Provision,
45325,Farmersville,,Montgomery,Ohio,VEDO,Provision,
45326,Fletcher,,Miami,Ohio,VEDO,Provision,
45845,Fort Loramie,,Shelby,Ohio,VEDO,Provision,
45005,Franklin,,Warren,Ohio,VEDO,Provision,
45327,Germantown,,Montgomery,Ohio,VEDO,Provision,
45328,Gettysburg,,Darke,Ohio,VEDO,Provision,
45123,Greenfield,,Highland,Ohio,VEDO,Provision,
45331,Greenville,,Darke,Ohio,VEDO,Provision,
45332,Hollansburg,,Darke,Ohio,VEDO,Provision,
45333,Houston,,Shelby,Ohio,VEDO,Provision,
43324,Huntsville,,Logan,Ohio,VEDO,Provision,
45334,Jackson Center,,Shelby,Ohio,VEDO,Provision,
45335,Jamestown,,Greene,Ohio,VEDO,Provision,
43128,Jeffersonville,,Fayette,Ohio,VEDO,Provision,
43331,Lakeview,,Logan,Ohio,VEDO,Provision,
45337,Laura,,Miami,Ohio,VEDO,Provision,
45036,Lebanon,,Warren,Ohio,VEDO,Provision,
