Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
43986,Jewett,,Harrison,Ohio,COH,Provision,
43031,Johnstown,,Licking,Ohio,COH,Provision,
43748,Junction City,,Perry,Ohio,COH,Provision,
44427,Kensington,,Columbiana,Ohio,COH,Provision,
43326,Kenton,,Hardin,Ohio,COH,Provision,
45643,Kerr,,Gallia,Ohio,COH,Provision,
43032,Kilbourne,,Delaware,Ohio,COH,Provision,
44637,Killbuck,,Holmes,Ohio,COH,Provision,
43749,Kimbolton,,Guernsey,Ohio,COH,Provision,
45644,Kingston,,Ross,Ohio,COH,Provision,
44049,Kipton,,Lorain,Ohio,COH,Provision,
43033,Kirkersville,,Licking,Ohio,COH,Provision,
45645,Kitts Hill,,Lawrence,Ohio,COH,Provision,
43332,La Rue,,Marion,Ohio,COH,Provision,
43439,Lacarne,,Ottawa,Ohio,COH,Provision,
44050,Lagrange,,Lorain,Ohio,COH,Provision,
43440,Lakeside Marblehead,,Ottawa,Ohio,COH,Provision,
43331,Lakeview,,Logan,Ohio,COH,Provision,
44638,Lakeville,,Holmes,Ohio,COH,Provision,
43130,Lancaster,,Fairfield,Ohio,COH,Provision,
45741,Langsville,,Meigs,Ohio,COH,Provision,
43934,Lansing,,Belmont,Ohio,COH,Provision,
43135,Laurelville,,Hocking,Ohio,COH,Provision,
44430,Leavittsburg,,Trumbull,Ohio,COH,Provision,
45036,Lebanon,,Warren,Ohio,COH,Provision,
44431,Leetonia,,Columbiana,Ohio,COH,Provision,
43441,Lemoyne,,Wood,Ohio,COH,Provision,
43035,Lewis Center,,Delaware,Ohio,COH,Provision,
43754,Lewisville,,Monroe,Ohio,COH,Provision,
45804,Lima,,Allen,Ohio,COH,Provision,
43442,Lindsey,,Sandusky,Ohio,COH,Provision,
44432,Lisbon,,Columbiana,Ohio,COH,Provision,
44253,Litchfield,,Medina,Ohio,COH,Provision,
43136,Lithopolis,,Fairfield,Ohio,COH,Provision,
45742,Little Hocking,,Washington,Ohio,COH,Provision,
43137,Lockbourne,,Franklin,Ohio,COH,Provision,
44254,Lodi,,Medina,Ohio,COH,Provision,
43138,Logan,,Hocking,Ohio,COH,Provision,
43140,London,,Madison,Ohio,COH,Provision,
45647,Londonderry,,Ross,Ohio,COH,Provision,
45743,Long Bottom,,Meigs,Ohio,COH,Provision,
44052,Lorain,,Lorain,Ohio,COH,Provision,
44053,Lorain,,Lorain,Ohio,COH,Provision,
44055,Lorain,,Lorain,Ohio,COH,Provision,
43755,Lore City,,Guernsey,Ohio,COH,Provision,
44842,Loudonville,,Ashland,Ohio,COH,Provision,
45744,Lowell,,Washington,Ohio,COH,Provision,
45745,Lower Salem,,Washington,Ohio,COH,Provision,
44843,Lucas,,Richland,Ohio,COH,Provision,
45648,Lucasville,,Scioto,Ohio,COH,Provision,
45699,Lucasville,,Scioto,Ohio,COH,Provision,
43443,Luckey,,Wood,Ohio,COH,Provision,
43036,Magnetic Springs,,Union,Ohio,COH,Provision,
44643,Magnolia,,Stark,Ohio,COH,Provision,
43758,Malta,,Morgan,Ohio,COH,Provision,
44644,Malvern,,Carroll,Ohio,COH,Provision,
44901,Mansfield,,Richland,Ohio,COH,Provision,
44902,Mansfield,,Richland,Ohio,COH,Provision,
44903,Mansfield,,Richland,Ohio,COH,Provision,
44904,Mansfield,,Richland,Ohio,COH,Provision,
44905,Mansfield,,Richland,Ohio,COH,Provision,
44906,Mansfield,,Richland,Ohio,COH,Provision,
44907,Mansfield,,Richland,Ohio,COH,Provision,
43334,Marengo,,Morrow,Ohio,COH,Provision,
45750,Marietta,,Washington,Ohio,COH,Provision,
43301,Marion,,Marion,Ohio,COH,Provision,
43302,Marion,,Marion,Ohio,COH,Provision,
43445,Martin,,Ottawa,Ohio,COH,Provision,
43935,Martins Ferry,,Belmont,Ohio,COH,Provision,
43037,Martinsburg,,Knox,Ohio,COH,Provision,
43040,Marysville,,Union,Ohio,COH,Provision,
44646,Massillon,,Stark,Ohio,COH,Provision,
44647,Massillon,,Stark,Ohio,COH,Provision,
43537,Maumee,,Lucas,Ohio,COH,Provision,
45651,Mc Arthur,,Vinton,Ohio,COH,Provision,
44844,Mc Cutchenville,,Wyandot,Ohio,COH,Provision,
45859,Mc Guffey,,Hardin,Ohio,COH,Provision,
43756,Mcconnelsville,,Morgan,Ohio,COH,Provision,
43044,Mechanicsburg,,Champaign,Ohio,COH,Provision,
44651,Mechanicstown,,Carroll,Ohio,COH,Provision,
44256,Medina,,Medina,Ohio,COH,Provision,
44258,Medina,,Medina,Ohio,COH,Provision,
44062,Middlefield,,Geauga,Ohio,COH,Provision,
45760,Middleport,,Meigs,Ohio,COH,Provision,
44846,Milan,,Erie,Ohio,COH,Provision,
43045,Milford Center,,Union,Ohio,COH,Provision,
43447,Millbury,,Wood,Ohio,COH,Provision,
44654,Millersburg,,Holmes,Ohio,COH,Provision,
43046,Millersport,,Fairfield,Ohio,COH,Provision,
