Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
45810,Ada,,Hardin,Ohio,COH,Provision,
43802,Adamsville,,Muskingum,Ohio,COH,Provision,
43101,Adelphi,,Ross,Ohio,COH,Provision,
44801,Adrian,,Seneca,Ohio,COH,Provision,
44321,Akron,,Summit,Ohio,COH,Provision,
44333,Akron,,Summit,Ohio,COH,Provision,
45710,Albany,,Athens,Ohio,COH,Provision,
43001,Alexandria,,Licking,Ohio,COH,Provision,
45812,Alger,,Hardin,Ohio,COH,Provision,
43902,Alledonia,,Belmont,Ohio,COH,Provision,
45611,Allensville,,Vinton,Ohio,COH,Provision,
44601,Alliance,,Stark,Ohio,COH,Provision,
44802,Alvada,,Seneca,Ohio,COH,Provision,
43102,Amanda,,Fairfield,Ohio,COH,Provision,
45711,Amesville,,Athens,Ohio,COH,Provision,
44001,Amherst,,Lorain,Ohio,COH,Provision,
43002,Amlin,,Franklin,Ohio,COH,Provision,
43903,Amsterdam,,Jefferson,Ohio,COH,Provision,
44606,Apple Creek,,Wayne,Ohio,COH,Provision,
44804,Arcadia,,Hancock,Ohio,COH,Provision,
43904,Armstrongs Mills,,Belmont,Ohio,COH,Provision,
44805,Ashland,,Ashland,Ohio,COH,Provision,
43003,Ashley,,Delaware,Ohio,COH,Provision,
43103,Ashville,,Pickaway,Ohio,COH,Provision,
45701,Athens,,Athens,Ohio,COH,Provision,
44807,Attica,,Seneca,Ohio,COH,Provision,
43711,Ava,,Noble,Ohio,COH,Provision,
44011,Avon,,Lorain,Ohio,COH,Provision,
44012,Avon Lake,,Lorain,Ohio,COH,Provision,
43804,Baltic,,Tuscarawas,Ohio,COH,Provision,
43105,Baltimore,,Fairfield,Ohio,COH,Provision,
45712,Barlow,,Washington,Ohio,COH,Provision,
43713,Barnesville,,Belmont,Ohio,COH,Provision,
45713,Bartlett,,Washington,Ohio,COH,Provision,
44809,Bascom,,Seneca,Ohio,COH,Provision,
44140,Bay Village,,Cuyahoga,Ohio,COH,Provision,
44608,Beach City,,Stark,Ohio,COH,Provision,
44146,Bedford,,Cuyahoga,Ohio,COH,Provision,
43906,Bellaire,,Belmont,Ohio,COH,Provision,
43310,Belle Center,,Logan,Ohio,COH,Provision,
43717,Belle Valley,,Noble,Ohio,COH,Provision,
44811,Bellevue,,Huron,Ohio,COH,Provision,
44813,Bellville,,Richland,Ohio,COH,Provision,
43718,Belmont,,Belmont,Ohio,COH,Provision,
44609,Beloit,,Mahoning,Ohio,COH,Provision,
45714,Belpre,,Washington,Ohio,COH,Provision,
44017,Berea,,Cuyahoga,Ohio,COH,Provision,
43908,Bergholz,,Jefferson,Ohio,COH,Provision,
