Rate ID,utility,Name,Rate Type,Term,Price,Unit,TC Version,PDF Name,active_from,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
775,AEP:CSP,P400R0494901,First Month Variable Rate,1,0.04,kWh,0775-1,0775-1.pdf,10/5/20,Yes,0.07,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
726,AEP:CSP,PF79R0494201,Flat Rate,12,79.99,kWh,726,0726.pdf,9/28/20,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
776,AEP:OPCO,P400R0494901,First Month Variable Rate,1,0.04,kWh,0776-1,0776-1.pdf,10/5/20,Yes,0.07,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
727,AEP:OPCO,PF79R0494201,Flat Rate,12,79.99,kWh,727,0727.pdf,9/28/20,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
785,CMS,F02a,First Month Variable Rate,1,2.6,Mcf,785,0785.pdf,1/7/21,Yes,4.78,46%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
639,CMS,F05c,Fixed Rate,12,4.75,Mcf,0639-1,0639-1.pdf,2/1/21,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
101,COH,QUC08,First Month Variable Rate,1,0.349,Ccf,0101-3,0101-3.pdf,1/7/21,Yes,0.59,41%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
604,COH,QUC02d,Fixed Rate,12,0.555,Ccf,0604-2,0604-2.pdf,1/7/21,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
703,CPA,POP02,First Month Variable Rate,1,1.99,DTH,703,0703.pdf,,Yes,0.43,53%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
705,CPA,POP04,Fixed Rate,12,3.99,DTH,705,0705.pdf,11/9/20,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
