Zip Code,City/Township/Community,Municipal,County,State,Utility
15001,Aliquippa,,Beaver,Pennsylvania,PNG/PEGC
15004,Atlasburg,,Washington,Pennsylvania,PNG/PEGC
15005,Baden,,Beaver,Pennsylvania,PNG/PEGC
15006,Bairdford,,Allegheny,Pennsylvania,PNG/PEGC
15007,Bakerstown,,Allegheny,Pennsylvania,PNG/PEGC
15009,Beaver,,Beaver,Pennsylvania,PNG/PEGC
15010,Beaver Falls,,Beaver,Pennsylvania,PNG/PEGC
15012,Belle Vernon,,Fayette,Pennsylvania,PNG/PEGC
15014,Brackenridge,,Allegheny,Pennsylvania,PNG/PEGC
15015,Bradfordwoods,,Allegheny,Pennsylvania,PNG/PEGC
15017,Bridgeville,,Allegheny,Pennsylvania,PNG/PEGC
15018,Buena Vista,,Allegheny,Pennsylvania,PNG/PEGC
15019,Bulger,,Washington,Pennsylvania,PNG/PEGC
15020,Bunola,,Allegheny,Pennsylvania,PNG/PEGC
15021,Burgettstown,,Washington,Pennsylvania,PNG/PEGC
15022,Charleroi,,Washington,Pennsylvania,PNG/PEGC
15024,Cheswick,,Allegheny,Pennsylvania,PNG/PEGC
15025,Clairton,,Allegheny,Pennsylvania,PNG/PEGC
15026,Clinton,,Beaver,Pennsylvania,PNG/PEGC
15030,Creighton,,Allegheny,Pennsylvania,PNG/PEGC
15032,Curtisville,,Allegheny,Pennsylvania,PNG/PEGC
15033,Donora,,Washington,Pennsylvania,PNG/PEGC
15034,Dravosburg,,Allegheny,Pennsylvania,PNG/PEGC
15035,East Mc Keesport,,Allegheny,Pennsylvania,PNG/PEGC
15037,Elizabeth,,Allegheny,Pennsylvania,PNG/PEGC
15038,Elrama,,Washington,Pennsylvania,PNG/PEGC
15044,Gibsonia,,Allegheny,Pennsylvania,PNG/PEGC
15045,Glassport,,Allegheny,Pennsylvania,PNG/PEGC
15046,Crescent,,Allegheny,Pennsylvania,PNG/PEGC
15047,Greenock,,Allegheny,Pennsylvania,PNG/PEGC
15049,Harwick,,Allegheny,Pennsylvania,PNG/PEGC
15051,Indianola,,Allegheny,Pennsylvania,PNG/PEGC
15052,Industry,,Beaver,Pennsylvania,PNG/PEGC
15054,Langeloth,,Washington,Pennsylvania,PNG/PEGC
15055,Lawrence,,Washington,Pennsylvania,PNG/PEGC
15057,Mc Donald,,Washington,Pennsylvania,PNG/PEGC
15059,Midland,,Beaver,Pennsylvania,PNG/PEGC
15061,Monaca,,Beaver,Pennsylvania,PNG/PEGC
15062,Monessen,,Westmoreland,Pennsylvania,PNG/PEGC
15063,Monongahela,,Washington,Pennsylvania,PNG/PEGC
15064,Morgan,,Allegheny,Pennsylvania,PNG/PEGC
15065,Natrona Heights,,Allegheny,Pennsylvania,PNG/PEGC
15066,New Brighton,,Beaver,Pennsylvania,PNG/PEGC
15067,New Eagle,,Washington,Pennsylvania,PNG/PEGC
15068,New Kensington,,Westmoreland,Pennsylvania,PNG/PEGC
15069,New Kensington,,Westmoreland,Pennsylvania,PNG/PEGC
15071,Oakdale,,Allegheny,Pennsylvania,PNG/PEGC
15072,Pricedale,,Westmoreland,Pennsylvania,PNG/PEGC
15076,Russellton,,Allegheny,Pennsylvania,PNG/PEGC
15077,Shippingport,,Beaver,Pennsylvania,PNG/PEGC
15078,Slovan,,Washington,Pennsylvania,PNG/PEGC
15081,South Heights,,Beaver,Pennsylvania,PNG/PEGC
15084,Tarentum,,Allegheny,Pennsylvania,PNG/PEGC
15085,Trafford,,Westmoreland,Pennsylvania,PNG/PEGC
15087,Webster,,Westmoreland,Pennsylvania,PNG/PEGC
15088,West Elizabeth,,Allegheny,Pennsylvania,PNG/PEGC
15089,West Newton,,Westmoreland,Pennsylvania,PNG/PEGC
15090,Wexford,,Allegheny,Pennsylvania,PNG/PEGC
15091,Wildwood,,Allegheny,Pennsylvania,PNG/PEGC
15101,Allison Park,,Allegheny,Pennsylvania,PNG/PEGC
15102,Bethel Park,,Allegheny,Pennsylvania,PNG/PEGC
15104,Braddock,,Allegheny,Pennsylvania,PNG/PEGC
15106,Carnegie,,Allegheny,Pennsylvania,PNG/PEGC
15108,Coraopolis,,Allegheny,Pennsylvania,PNG/PEGC
15110,Duquesne,,Allegheny,Pennsylvania,PNG/PEGC
15112,East Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15116,Glenshaw,,Allegheny,Pennsylvania,PNG/PEGC
15120,Homestead,,Allegheny,Pennsylvania,PNG/PEGC
15122,West Mifflin,,Allegheny,Pennsylvania,PNG/PEGC
15123,West Mifflin,,Allegheny,Pennsylvania,PNG/PEGC
15126,Imperial,,Allegheny,Pennsylvania,PNG/PEGC
15127,Ingomar,,Allegheny,Pennsylvania,PNG/PEGC
15129,South Park,,Allegheny,Pennsylvania,PNG/PEGC
15131,Mckeesport,,Allegheny,Pennsylvania,PNG/PEGC
15132,Mckeesport,,Allegheny,Pennsylvania,PNG/PEGC
15133,Mckeesport,,Allegheny,Pennsylvania,PNG/PEGC
15135,Mckeesport,,Allegheny,Pennsylvania,PNG/PEGC
15136,Mc Kees Rocks,,Allegheny,Pennsylvania,PNG/PEGC
15137,North Versailles,,Allegheny,Pennsylvania,PNG/PEGC
15139,Oakmont,,Allegheny,Pennsylvania,PNG/PEGC
15140,Pitcairn,,Allegheny,Pennsylvania,PNG/PEGC
15142,Presto,,Allegheny,Pennsylvania,PNG/PEGC
15143,Sewickley,,Allegheny,Pennsylvania,PNG/PEGC
15144,Springdale,,Allegheny,Pennsylvania,PNG/PEGC
15145,Turtle Creek,,Allegheny,Pennsylvania,PNG/PEGC
15146,Monroeville,,Allegheny,Pennsylvania,PNG/PEGC
15147,Verona,,Allegheny,Pennsylvania,PNG/PEGC
15148,Wilmerding,,Allegheny,Pennsylvania,PNG/PEGC
15201,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15202,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15203,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15204,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15205,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15206,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15207,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15208,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15209,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15210,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15211,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15212,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15213,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15214,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15215,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15216,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15217,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15218,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15219,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15220,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15221,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15222,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15223,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15224,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15226,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15227,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15228,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15229,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15231,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15232,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15233,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15234,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15235,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15236,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15237,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15238,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15239,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15240,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15241,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15242,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15243,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15260,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15261,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15275,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15282,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15290,Pittsburgh,,Allegheny,Pennsylvania,PNG/PEGC
15301,Washington,,Washington,Pennsylvania,PNG/PEGC
15310,Aleppo,,Greene,Pennsylvania,PNG/PEGC
15311,Amity,,Washington,Pennsylvania,PNG/PEGC
15313,Beallsville,,Washington,Pennsylvania,PNG/PEGC
