Zip Code,City/Township/Community,Municipal,County,State,Utility
15001,Aliquippa,,Beaver,Pennsylvania,PNG
15004,Atlasburg,,Washington,Pennsylvania,PNG
15005,Baden,,Beaver,Pennsylvania,PNG
15006,Bairdford,,Allegheny,Pennsylvania,PNG
15007,Bakerstown,,Allegheny,Pennsylvania,PNG
15009,Beaver,,Beaver,Pennsylvania,PNG
15010,Beaver Falls,,Beaver,Pennsylvania,PNG
15012,Belle Vernon,,Fayette,Pennsylvania,PNG
15014,Brackenridge,,Allegheny,Pennsylvania,PNG
15015,Bradfordwoods,,Allegheny,Pennsylvania,PNG
15017,Bridgeville,,Allegheny,Pennsylvania,PNG
15018,Buena Vista,,Allegheny,Pennsylvania,PNG
15019,Bulger,,Washington,Pennsylvania,PNG
15020,Bunola,,Allegheny,Pennsylvania,PNG
15021,Burgettstown,,Washington,Pennsylvania,PNG
15022,Charleroi,,Washington,Pennsylvania,PNG
15024,Cheswick,,Allegheny,Pennsylvania,PNG
15025,Clairton,,Allegheny,Pennsylvania,PNG
15026,Clinton,,Beaver,Pennsylvania,PNG
15030,Creighton,,Allegheny,Pennsylvania,PNG
15032,Curtisville,,Allegheny,Pennsylvania,PNG
15033,Donora,,Washington,Pennsylvania,PNG
15034,Dravosburg,,Allegheny,Pennsylvania,PNG
15035,East Mc Keesport,,Allegheny,Pennsylvania,PNG
15037,Elizabeth,,Allegheny,Pennsylvania,PNG
15038,Elrama,,Washington,Pennsylvania,PNG
15044,Gibsonia,,Allegheny,Pennsylvania,PNG
15045,Glassport,,Allegheny,Pennsylvania,PNG
15046,Crescent,,Allegheny,Pennsylvania,PNG
15047,Greenock,,Allegheny,Pennsylvania,PNG
15049,Harwick,,Allegheny,Pennsylvania,PNG
15051,Indianola,,Allegheny,Pennsylvania,PNG
15052,Industry,,Beaver,Pennsylvania,PNG
15054,Langeloth,,Washington,Pennsylvania,PNG
15055,Lawrence,,Washington,Pennsylvania,PNG
15057,Mc Donald,,Washington,Pennsylvania,PNG
15059,Midland,,Beaver,Pennsylvania,PNG
15061,Monaca,,Beaver,Pennsylvania,PNG
15062,Monessen,,Westmoreland,Pennsylvania,PNG
15063,Monongahela,,Washington,Pennsylvania,PNG
15064,Morgan,,Allegheny,Pennsylvania,PNG
15065,Natrona Heights,,Allegheny,Pennsylvania,PNG
15066,New Brighton,,Beaver,Pennsylvania,PNG
15067,New Eagle,,Washington,Pennsylvania,PNG
15068,New Kensington,,Westmoreland,Pennsylvania,PNG
15069,New Kensington,,Westmoreland,Pennsylvania,PNG
15071,Oakdale,,Allegheny,Pennsylvania,PNG
15072,Pricedale,,Westmoreland,Pennsylvania,PNG
15076,Russellton,,Allegheny,Pennsylvania,PNG
15077,Shippingport,,Beaver,Pennsylvania,PNG
15078,Slovan,,Washington,Pennsylvania,PNG
15081,South Heights,,Beaver,Pennsylvania,PNG
15084,Tarentum,,Allegheny,Pennsylvania,PNG
15085,Trafford,,Westmoreland,Pennsylvania,PNG
15087,Webster,,Westmoreland,Pennsylvania,PNG
15088,West Elizabeth,,Allegheny,Pennsylvania,PNG
