Zip Code,City/Township/Community,Municipal,County,State,Utility
15522,Bedford,,Bedford,Pennsylvania,UGI
15537,Everett,,Bedford,Pennsylvania,UGI
15539,Schellsburg,,Bedford,Pennsylvania,UGI
15554,New Paris,,Bedford,Pennsylvania,UGI
15864,Summerville,,Jefferson,Pennsylvania,UGI
16049,Parker,,Armstrong,Pennsylvania,UGI
16054,St. Petersburg,,Clarion,Pennsylvania,UGI
16058,Turkey City,,Clarion,Pennsylvania,UGI
16213,Callensburg,,Clarion,Pennsylvania,UGI
16214,Clarion,,Clarion,Pennsylvania,UGI
16220,Crown,,Clarion,Pennsylvania,UGI
16225,Fisher,,Clarion,Pennsylvania,UGI
16232,Knox,,Clarion,Pennsylvania,UGI
16233,Leeper,,Clarion,Pennsylvania,UGI
16234,Limestone,,Clarion,Pennsylvania,UGI
16235,Lucinda,,Clarion,Pennsylvania,UGI
16239,Marienville,,Forest,Pennsylvania,UGI
16254,Shippenville,,Clarion,Pennsylvania,UGI
16255,Sligo,,Clarion,Pennsylvania,UGI
16257,Snydersburg,,Clarion,Pennsylvania,UGI
16260,Vowinckel,,Clarion,Pennsylvania,UGI
16301,Oil City,,Venango,Pennsylvania,UGI
16319,Cranberry,,Venango,Pennsylvania,UGI
16323,Franklin,,Venango,Pennsylvania,UGI
16326,Fryburg,,Clarion,Pennsylvania,UGI
16331,Kossuth,,Clarion,Pennsylvania,UGI
16332,Lickingville,,Clarion,Pennsylvania,UGI
16334,Marble,,Clarion,Pennsylvania,UGI
16344,Rouseville,,Venango,Pennsylvania,UGI
16346,Seneca,,Venango,Pennsylvania,UGI
16353,Tionesta,,Forest,Pennsylvania,UGI
16361,Tylersburg,,Clarion,Pennsylvania,UGI
16364,Venus,,Venango,Pennsylvania,UGI
16373,Emlenton,,Venango,Pennsylvania,UGI
16375,Lamartine,,Clarion,Pennsylvania,UGI
16652,Huntingdon,,Huntingdon,Pennsylvania,UGI
16654,Huntingdon,,Huntingdon,Pennsylvania,UGI
16662,Martinsburg,,Blair,Pennsylvania,UGI
16666,Osceola Mills,,Clearfield,Pennsylvania,UGI
16673,Roaring Spring,,Blair,Pennsylvania,UGI
16677,Sandy Ridge,,Centre,Pennsylvania,UGI
16720,Austin,,Potter,Pennsylvania,UGI
